eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Amazona kawalli,13,Amazona kawalli,18
Amazona leucocephala,39,Amazona leucocephala,86
Amazona martinicana,0,Amazona martinicana,0
Amazona mercenarius,126,Amazona mercenarius,0
Amazona ochrocephala,176,Amazona ochrocephala,156
Amazona oratrix,57,Amazona oratrix,116
Amazona pretrei,5,Amazona pretrei,31
Amazona rhodocorytha,31,Amazona rhodocorytha,21
Amazona tucumana,27,Amazona tucumana,14
Amazona ventralis,32,Amazona ventralis,14
Amazona versicolor,8,Amazona versicolor,8
Amazona vinacea,41,Amazona vinacea,6
Amazona violacea,0,Amazona violacea,0
Amazona viridigenalis,137,Amazona viridigenalis,18
Amazona vittata,32,Amazona vittata,30
Amazona xantholora,28,Amazona xantholora,3
Amazonetta brasiliensis,26,Amazonetta brasiliensis,33
Amblycercus holosericeus,151,Amblycercus holosericeus,19
Amblyornis flavifrons,9,Amblyornis flavifrons,0
Amblyornis inornata,3,Amblyornis inornata,18
Amblyornis macgregoriae,5,Amblyornis macgregoriae,5
Amblyornis newtoniana,9,Amblyornis newtoniana,27
Amblyornis subalaris,0,Amblyornis subalaris,16
Amblyospiza albifrons,14,Amblyospiza albifrons,14
Amblyramphus holosericeus,60,Amblyramphus holosericeus,12
Ammodramus aurifrons,105,Ammodramus aurifrons,3
Ammodramus humeralis,154,Ammodramus humeralis,27
Ammodramus savannarum,2196,Ammodramus savannarum,152
Ammomanes cinctura,8,Ammomanes cinctura,12
Ammomanes deserti,12,Ammomanes deserti,22
Ammomanes phoenicura,51,Ammomanes phoenicura,2
Ammomanopsis grayi,2,Ammomanopsis grayi,14
Ammonastes pelzelni,30,Ammonastes pelzelni,6
Ammoperdix griseogularis,1,Ammoperdix griseogularis,0
Ammoperdix heyi,9,Ammoperdix heyi,9
Ammospiza caudacuta,35,Ammospiza caudacuta,29
Ammospiza leconteii,351,Ammospiza leconteii,4
Ammospiza maritima,335,Ammospiza maritima,48
Ammospiza nelsoni,293,Ammospiza nelsoni,53
Ampeliceps coronatus,3,Ampeliceps coronatus,11
Ampelioides tschudii,53,Ampelioides tschudii,16
Ampelion rubrocristatus,20,Ampelion rubrocristatus,7
Ampelion rufaxilla,25,Ampelion rufaxilla,9
Ampelornis griseiceps,10,Ampelornis griseiceps,4
Amphilais seebohmi,15,Amphilais seebohmi,10
Amphispiza bilineata,506,Amphispiza bilineata,40
Amphispiza quinquestriata,142,Amphispiza quinquestriata,13
Amytornis ballarae,3,Amytornis ballarae,113
Amytornis barbatus,0,Amytornis barbatus,104
Amytornis dorotheae,3,Amytornis dorotheae,42
Amytornis goyderi,2,Amytornis goyderi,96
Amytornis housei,0,Amytornis housei,114
Amytornis merrotsyi,2,Amytornis merrotsyi,111
Amytornis modestus,1,Amytornis modestus,183
Amytornis oweni,0,Amytornis oweni,1
Amytornis purnelli,1,Amytornis purnelli,99
Amytornis rowleyi,0,Amytornis rowleyi,6
Amytornis striatus,5,Amytornis striatus,219
Amytornis textilis,5,Amytornis textilis,103
Amytornis whitei,1,Amytornis whitei,0
Amytornis woodwardi,2,Amytornis woodwardi,6
