PetersTaxonomy	InClements?
Ara_chloroptera	No
Ara_couloni	No
Ara_macao	Clements
Ara_manilata	No
Ara_maracana	No
Ara_militaris	Clements
Ara_nobilis	No
Ara_rubrogenys	Clements
Ara_severa	No
Ara_spixii	No
Ara_tricolor	Clements
Arachnothera_affinis	Clements
Arachnothera_chrysogenys	Clements
Arachnothera_clarae	Clements
Arachnothera_crassirostris	Clements
Arachnothera_everetti	Clements
Arachnothera_flavigaster	Clements
Arachnothera_juliae	Clements
Arachnothera_longirostra	Clements
Arachnothera_magna	Clements
Arachnothera_robusta	Clements
Aramides_axillaris	Clements
Aramides_cajanea	No
Aramides_calopterus	Clements
Aramides_gutturalis	No
Aramides_mangle	Clements
Aramides_saracura	Clements
Aramides_wolfi	Clements
Aramides_ypecaha	Clements
Aramidopsis_plateni	Clements
Aramus_scolopaceus	No
Aratinga_acuticaudata	No
Aratinga_astec	No
Aratinga_aurea	No
Aratinga_auricapillus	Clements
Aratinga_cactorum	No
Aratinga_canicularis	No
Aratinga_chloroptera	No
Aratinga_erythrogenys	No
Aratinga_euops	No
Aratinga_finschi	No
Aratinga_guarouba	No
Aratinga_holochlora	No
Aratinga_jandaya	Clements
Aratinga_leucophthalmus	No
Aratinga_mitrata	No
Aratinga_nana	No
Aratinga_pertinax	No
Aratinga_solstitialis	Clements
Aratinga_strenua	No
Aratinga_wagleri	No
Aratinga_weddellii	Clements
Arborophila_ardens	Clements
Arborophila_atrogularis	Clements
Arborophila_brunneopectus	Clements
Arborophila_cambodiana	Clements
Arborophila_crudigularis	Clements
Arborophila_davidi	Clements
Arborophila_gingica	Clements
Arborophila_hyperythra	Clements
Arborophila_javanica	Clements
Arborophila_mandellii	Clements
Arborophila_orientalis	Clements
Arborophila_rubrirostris	Clements
Arborophila_rufipectus	Clements
Arborophila_rufogularis	Clements
Arborophila_torqueola	Clements
Archboldia_papuensis	Clements
Archilochus_alexandri	Clements
Archilochus_colubris	Clements
Arctonetta_fischeri	No
Ardea_alba	Clements
Ardea_cinerea	Clements
Ardea_cocoi	Clements
Ardea_goliath	Clements
Ardea_herodias	Clements
Ardea_humbloti	Clements
Ardea_imperialis	No
Ardea_melanocephala	Clements
Ardea_occidentalis	No
Ardea_pacifica	Clements
Ardea_purpurea	Clements
Ardea_sumatrana	Clements
Ardeola_bacchus	Clements
Ardeola_grayii	Clements
Ardeola_idae	Clements
Ardeola_ralloides	Clements
Ardeola_rufiventris	Clements
Ardeola_speciosa	Clements
Ardeola_striata	No
Arenaria_interpres	Clements
Arenaria_melanocephala	Clements
Argusianus_argus	Clements
Arremon_abeillei	Clements
Arremon_aurantiirostris	Clements
Arremon_flavirostris	Clements
Arremon_schlegeli	Clements
Arremon_taciturnus	Clements
Arremonops_chloronotus	Clements
Arremonops_conirostris	Clements
Arremonops_rufivirgatus	Clements
Arremonops_tocuyensis	Clements
Arses_kaupi	Clements
Arses_telescophthalmus	No
Artamus_cinereus	Clements
Artamus_cyanopterus	Clements
Artamus_fuscus	Clements
Artamus_insignis	Clements
Artamus_leucorhynchus	No
Artamus_maximus	Clements
Artamus_minor	Clements
Artamus_monachus	Clements
Artamus_personatus	Clements
Artamus_superciliosus	Clements
Asarcornis_scutulata	Clements
Ashbyia_lovensis	Clements
Asio_abyssinicus	Clements
Asio_capensis	Clements
Asio_flammeus	Clements
Asio_madagascariensis	Clements
Asio_otus	Clements
Asio_stygius	Clements
Aspatha_gularis	Clements
Asthenes_anthoides	Clements
Asthenes_baeri	Clements
Asthenes_berlepschi	Clements
Asthenes_dorbignyi	Clements
Asthenes_flammulata	Clements
Asthenes_heterura	Clements
Asthenes_hudsoni	Clements
Asthenes_humicola	No
Asthenes_humilis	Clements
Asthenes_maculicauda	Clements
Asthenes_modesta	Clements
Asthenes_ottonis	Clements
Asthenes_patagonica	No
Asthenes_pudibunda	Clements
Asthenes_pyrrholeuca	Clements
Asthenes_sclateri	Clements
Asthenes_steinbachi	No
Asthenes_urubambensis	Clements
Asthenes_virgata	Clements
Asthenes_wyatti	Clements
Astrapia_mayeri	Clements
Astrapia_nigra	Clements
Astrapia_rothschildi	Clements
Astrapia_splendidissima	Clements
Astrapia_stephaniae	Clements
Asturina_nitida	No
Asyndesmus_lewis	No
Atalotriccus_pilaris	Clements
Atelornis_crossleyi	Clements
Atelornis_pittoides	Clements
Athene_blewitti	Clements
Athene_brama	Clements
Athene_noctua	Clements
Atlantisia_rogersi	Clements
Atlapetes_albiceps	Clements
Atlapetes_albinucha	Clements
Atlapetes_albofrenatus	Clements
Atlapetes_brunneinucha	No
Atlapetes_citrinellus	Clements
Atlapetes_flaviceps	Clements
Atlapetes_fulviceps	Clements
Atlapetes_fuscoolivaceus	Clements
Atlapetes_leucopis	Clements
Atlapetes_leucopterus	Clements
Atlapetes_melanocephalus	Clements
Atlapetes_nationi	Clements
Atlapetes_pallidiceps	Clements
Atlapetes_pallidinucha	Clements
Atlapetes_personatus	Clements
Atlapetes_pileatus	Clements
Atlapetes_rufigenis	Clements
Atlapetes_rufinucha	Clements
Atlapetes_schistaceus	Clements
Atlapetes_semirufus	Clements
Atlapetes_torquatus	No
Atlapetes_tricolor	Clements
Atrichornis_clamosus	Clements
Atrichornis_rufescens	Clements
Attagis_gayi	Clements
Attagis_malouinus	Clements
Atthis_heloisa	Clements
Atticora_fasciata	Clements
Atticora_melanoleuca	No
Attila_bolivianus	Clements
Attila_cinnamomeus	Clements
Attila_citriniventris	Clements
Attila_phoenicurus	Clements
Attila_rufus	Clements
Attila_spadiceus	Clements
Attila_torridus	Clements
Augastes_lumachellus	No
Augastes_scutatus	Clements
Aulacorhynchus_calorhynchus	No
Aulacorhynchus_coeruleicinctis	Clements
Aulacorhynchus_derbianus	Clements
Aulacorhynchus_haematopygus	Clements
Aulacorhynchus_huallagae	Clements
Aulacorhynchus_prasinus	Clements
Aulacorhynchus_sulcatus	Clements
Auriparus_flaviceps	Clements
Automolus_albigularis	No
Automolus_dorsalis	No
Automolus_infuscatus	Clements
Automolus_leucophthalmus	Clements
Automolus_melanopezus	Clements
Automolus_ochrolaemus	Clements
Automolus_rubiginosus	No
Automolus_ruficollis	No
Automolus_rufipileatus	Clements
Aviceda_cuculoides	Clements
Aviceda_cuculoides	Clements
Aviceda_jerdoni	Clements
Aviceda_leuphotes	Clements
Aviceda_madagascariensis	Clements
Aviceda_subcristata	Clements
Avocettula_recurvirostris	Clements
Aythya_affinis	Clements
Aythya_americana	Clements
Aythya_australis	Clements
Aythya_baeri	Clements
Aythya_collaris	Clements
Aythya_ferina	Clements
Aythya_fuligula	Clements
Aythya_innotata	Clements
Aythya_marila	Clements
Aythya_novaeseelandiae	Clements
Aythya_nyroca	Clements
Aythya_valisineria	Clements
Babax_koslowi	No
Babax_lanceolatus	No
Babax_waddelli	No
Baeopogon_clamans	Clements
