Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Agriornis micropterus,1,Agriornis micropterus,14
Agriornis montanus,20,Agriornis montanus,8
Agriornis murinus,1,Agriornis murinus,13
Agropsar philippensis,18,Agropsar philippensis,22
Agropsar sturninus,11,Agropsar sturninus,9
Ailuroedus arfakianus,7,Ailuroedus arfakianus,10
Ailuroedus astigmaticus,1,Ailuroedus astigmaticus,13
Ailuroedus buccoides,0,Ailuroedus buccoides,28
Ailuroedus crassirostris,25,Ailuroedus crassirostris,49
Ailuroedus geislerorum,10,Ailuroedus geislerorum,43
Ailuroedus jobiensis,2,Ailuroedus jobiensis,24
Ailuroedus maculosus,46,Ailuroedus maculosus,29
Ailuroedus melanocephalus,1,Ailuroedus melanocephalus,28
Ailuroedus melanotis,9,Ailuroedus melanotis,39
Ailuroedus stonii,3,Ailuroedus stonii,31
Aimophila notosticta,18,Aimophila notosticta,14
Aimophila rufescens,82,Aimophila rufescens,32
Aimophila ruficeps,167,Aimophila ruficeps,47
Aix galericulata,75,Aix galericulata,27
Aix sponsa,68,Aix sponsa,86
Akialoa ellisiana,0,Akialoa ellisiana,0
Akialoa lanaiensis,0,Akialoa lanaiensis,0
Akialoa obscura,0,Akialoa obscura,2
Akialoa stejnegeri,0,Akialoa stejnegeri,0
Akletos goeldii,81,Akletos goeldii,4
Akletos melanoceps,53,Akletos melanoceps,4
Alaemon alaudipes,39,Alaemon alaudipes,13
Alaemon hamertoni,0,Alaemon hamertoni,0
Alauda arvensis,1446,Alauda arvensis,223
Alauda gulgula,117,Alauda gulgula,7
Alauda leucoptera,20,Alauda leucoptera,4
Alauda razae,1,Alauda razae,26
Alaudala cheleensis,58,Alaudala cheleensis,8
Alaudala raytal,13,Alaudala raytal,6
Alaudala rufescens,98,Alaudala rufescens,21
Alaudala somalica,18,Alaudala somalica,7
Alca torda,70,Alca torda,95
Alcedo atthis,513,Alcedo atthis,103
Alcedo coerulescens,13,Alcedo coerulescens,2
Alcedo euryzona,2,Alcedo euryzona,10
Alcedo hercules,1,Alcedo hercules,14
Alcedo meninting,20,Alcedo meninting,15
Alcedo quadribrachys,3,Alcedo quadribrachys,18
Alcedo semitorquata,12,Alcedo semitorquata,8
Alcippe brunneicauda,52,Alcippe brunneicauda,22
Alcippe davidi,7,Alcippe davidi,16
Alcippe fratercula,22,Alcippe fratercula,6
Alcippe grotei,4,Alcippe grotei,15
Alcippe hueti,32,Alcippe hueti,18
Alcippe morrisonia,21,Alcippe morrisonia,1916
Alcippe nipalensis,19,Alcippe nipalensis,443
Alcippe peracensis,41,Alcippe peracensis,16
Alcippe poioicephala,70,Alcippe poioicephala,74
Alcippe pyrrhoptera,20,Alcippe pyrrhoptera,5
Alcippe variegaticeps,1,Alcippe variegaticeps,5
Aleadryas rufinucha,28,Aleadryas rufinucha,20
Alectoris barbara,17,Alectoris barbara,12
Alectoris chukar,52,Alectoris chukar,777
Alectoris graeca,39,Alectoris graeca,44
Alectoris magna,11,Alectoris magna,166
Alectoris melanocephala,9,Alectoris melanocephala,11
Alectoris philbyi,5,Alectoris philbyi,10
Alectoris rufa,215,Alectoris rufa,2542
Alectroenas madagascariensis,1,Alectroenas madagascariensis,3
Alectroenas nitidissimus,0,Alectroenas nitidissimus,0
Alectroenas payandeei,NA,Alectroenas payandeei,0
Alectroenas pulcherrimus,6,Alectroenas pulcherrimus,5
Alectroenas sganzini,2,Alectroenas sganzini,2
Alectrurus risora,3,Alectrurus risora,19
Alectrurus tricolor,1,Alectrurus tricolor,2
Alectura lathami,22,Alectura lathami,557
Alethe castanea,17,Alethe castanea,53
Alethe diademata,22,Alethe diademata,59
Alipiopsitta xanthops,17,Alipiopsitta xanthops,21
Alisterus amboinensis,11,Alisterus amboinensis,16
Alisterus chloropterus,3,Alisterus chloropterus,4
Alisterus scapularis,30,Alisterus scapularis,40
Alle alle,9,Alle alle,114
Allenia fusca,2,Allenia fusca,32
Alopecoenas beccarii,7,Alopecoenas beccarii,18
Alopecoenas canifrons,0,Alopecoenas canifrons,4
Alopecoenas erythropterus,0,Alopecoenas erythropterus,4
Alopecoenas ferrugineus,0,Alopecoenas ferrugineus,0
Alopecoenas hoedtii,7,Alopecoenas hoedtii,2
Alopecoenas jobiensis,0,Alopecoenas jobiensis,9
Alopecoenas kubaryi,0,Alopecoenas kubaryi,2
Alopecoenas norfolkensis,0,Alopecoenas norfolkensis,0
Alopecoenas rubescens,0,Alopecoenas rubescens,2
Alopecoenas salamonis,0,Alopecoenas salamonis,2
Alopecoenas sanctaecrucis,0,Alopecoenas sanctaecrucis,2
Alopecoenas stairi,1,Alopecoenas stairi,7
Alopecoenas xanthonurus,3,Alopecoenas xanthonurus,7
Alophoixus affinis,4,Alophoixus affinis,4
Alophoixus aureus,NA,Alophoixus aureus,0
Alophoixus bres,84,Alophoixus bres,54
Alophoixus chloris,NA,Alophoixus chloris,0
Alophoixus finschii,12,Alophoixus finschii,6
Alophoixus flaveolus,30,Alophoixus flaveolus,91
Alophoixus frater,7,Alophoixus frater,8
Alophoixus longirostris,30,Alophoixus longirostris,0
Alophoixus lucasi,NA,Alophoixus lucasi,0
Alophoixus mystacalis,3,Alophoixus mystacalis,0
Alophoixus ochraceus,50,Alophoixus ochraceus,224
Alophoixus pallidus,40,Alophoixus pallidus,777
Alophoixus phaeocephalus,56,Alophoixus phaeocephalus,51
Alophoixus platenae,NA,Alophoixus platenae,0
Alopochelidon fucata,27,Alopochelidon fucata,8
Alopochen aegyptiaca,164,Alopochen aegyptiaca,14
Alopochen kervazoi,0,Alopochen kervazoi,0
Alopochen mauritiana,0,Alopochen mauritiana,0
Amadina erythrocephala,13,Amadina erythrocephala,3
Amadina fasciata,13,Amadina fasciata,6
Amalocichla incerta,30,Amalocichla incerta,33
Amalocichla sclateriana,11,Amalocichla sclateriana,6
Amandava amandava,49,Amandava amandava,11
Amaurolimnas concolor,71,Amaurolimnas concolor,2
Amaurornis cinerea,19,Amaurornis cinerea,0
Amaurornis isabellina,11,Amaurornis isabellina,0
Amaurornis magnirostris,4,Amaurornis magnirostris,0
Amaurornis marginalis,1,Amaurornis marginalis,0
Amaurornis moluccana,50,Amaurornis moluccana,4
Amaurornis olivacea,7,Amaurornis olivacea,5
Amaurornis phoenicurus,134,Amaurornis phoenicurus,31
Amaurospiza carrizalensis,1,Amaurospiza carrizalensis,0
Amaurospiza concolor,24,Amaurospiza concolor,6
Amaurospiza moesta,54,Amaurospiza moesta,2
Amazilia amabilis,53,Amazilia amabilis,12
Amazilia amazilia,63,Amazilia amazilia,19
Amazilia beryllina,64,Amazilia beryllina,204
Amazilia boucardi,9,Amazilia boucardi,0
Amazilia brevirostris,10,Amazilia brevirostris,21
Amazilia candida,22,Amazilia candida,42
Amazilia castaneiventris,27,Amazilia castaneiventris,5
Amazilia chionogaster,75,Amazilia chionogaster,16
Amazilia cyanifrons,21,Amazilia cyanifrons,0
Amazilia cyanocephala,18,Amazilia cyanocephala,245
Amazilia cyanura,3,Amazilia cyanura,110
Amazilia decora,18,Amazilia decora,9
Amazilia edward,9,Amazilia edward,13
Amazilia fimbriata,81,Amazilia fimbriata,12
Amazilia franciae,69,Amazilia franciae,12
Amazilia hoffmanni,6,Amazilia hoffmanni,2
Amazilia lactea,46,Amazilia lactea,9
Amazilia leucogaster,12,Amazilia leucogaster,9
Amazilia luciae,15,Amazilia luciae,0
Amazilia rosenbergi,28,Amazilia rosenbergi,6
Amazilia rutila,42,Amazilia rutila,26
Amazilia saucerottei,16,Amazilia saucerottei,63
Amazilia tobaci,12,Amazilia tobaci,21
Amazilia tzacatl,157,Amazilia tzacatl,153
Amazilia versicolor,43,Amazilia versicolor,25
Amazilia violiceps,72,Amazilia violiceps,242
Amazilia viridicauda,21,Amazilia viridicauda,19
Amazilia viridifrons,3,Amazilia viridifrons,115
Amazilia viridigaster,6,Amazilia viridigaster,19
Amazilia yucatanensis,30,Amazilia yucatanensis,28
Amazona aestiva,95,Amazona aestiva,288
Amazona agilis,8,Amazona agilis,8
Amazona albifrons,94,Amazona albifrons,36
Amazona amazonica,131,Amazona amazonica,27
Amazona arausiaca,2,Amazona arausiaca,10
Amazona auropalliata,32,Amazona auropalliata,86
Amazona autumnalis,138,Amazona autumnalis,57
Amazona barbadensis,3,Amazona barbadensis,11
Amazona brasiliensis,32,Amazona brasiliensis,35
Amazona collaria,3,Amazona collaria,9
Amazona dufresniana,21,Amazona dufresniana,12
Amazona farinosa,294,Amazona farinosa,131
Amazona festiva,26,Amazona festiva,9
Amazona finschi,51,Amazona finschi,9
Amazona guildingii,1,Amazona guildingii,31
Amazona imperialis,1,Amazona imperialis,8
Amazona kawalli,21,Amazona kawalli,18
Amazona leucocephala,18,Amazona leucocephala,86
Amazona martinicana,NA,Amazona martinicana,0
Amazona mercenarius,100,Amazona mercenarius,0
Amazona ochrocephala,123,Amazona ochrocephala,156
Amazona oratrix,44,Amazona oratrix,116
Amazona pretrei,15,Amazona pretrei,31
Amazona rhodocorytha,28,Amazona rhodocorytha,21
Amazona tucumana,27,Amazona tucumana,14
Amazona ventralis,4,Amazona ventralis,14
Amazona versicolor,6,Amazona versicolor,8
Amazona vinacea,56,Amazona vinacea,6
Amazona violacea,NA,Amazona violacea,0
Amazona viridigenalis,29,Amazona viridigenalis,18
Amazona vittata,7,Amazona vittata,30
Amazona xantholora,11,Amazona xantholora,3
Amazonetta brasiliensis,50,Amazonetta brasiliensis,33
Amblycercus holosericeus,84,Amblycercus holosericeus,19
Amblyornis flavifrons,0,Amblyornis flavifrons,0
Amblyornis inornata,14,Amblyornis inornata,18
Amblyornis macgregoriae,8,Amblyornis macgregoriae,5
Amblyornis newtoniana,13,Amblyornis newtoniana,27
Amblyornis subalaris,1,Amblyornis subalaris,16
Amblyospiza albifrons,24,Amblyospiza albifrons,14
Amblyramphus holosericeus,72,Amblyramphus holosericeus,12
Ammodramus aurifrons,100,Ammodramus aurifrons,3
Ammodramus humeralis,112,Ammodramus humeralis,27
Ammodramus savannarum,184,Ammodramus savannarum,152
Ammomanes cinctura,21,Ammomanes cinctura,12
Ammomanes deserti,35,Ammomanes deserti,22
Ammomanes phoenicura,12,Ammomanes phoenicura,2
Ammomanopsis grayi,2,Ammomanopsis grayi,14
Ammonastes pelzelni,26,Ammonastes pelzelni,6
Ammoperdix griseogularis,3,Ammoperdix griseogularis,0
Ammoperdix heyi,7,Ammoperdix heyi,9
Ammospiza caudacuta,8,Ammospiza caudacuta,29
Ammospiza leconteii,98,Ammospiza leconteii,4
Ammospiza maritima,64,Ammospiza maritima,48
Ammospiza nelsoni,40,Ammospiza nelsoni,53
