Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Tangara rufigenis,1,Tangara rufigenis,1
Tangara schrankii,26,Tangara schrankii,5
Tangara seledon,44,Tangara seledon,9
Tangara vassorii,40,Tangara vassorii,35
Tangara velia,39,Tangara velia,9
Tangara xanthocephala,25,Tangara xanthocephala,3
Tanygnathus gramineus,6,Tanygnathus gramineus,0
Tanygnathus lucionensis,7,Tanygnathus lucionensis,11
Tanygnathus megalorynchos,20,Tanygnathus megalorynchos,11
Tanygnathus sumatranus,19,Tanygnathus sumatranus,8
Tanysiptera carolinae,6,Tanysiptera carolinae,1
Tanysiptera danae,13,Tanysiptera danae,1
Tanysiptera ellioti,0,Tanysiptera ellioti,0
Tanysiptera galatea,65,Tanysiptera galatea,8
Tanysiptera hydrocharis,6,Tanysiptera hydrocharis,6
Tanysiptera nigriceps,6,Tanysiptera nigriceps,3
Tanysiptera nympha,7,Tanysiptera nympha,1
Tanysiptera riedelii,13,Tanysiptera riedelii,1
Tanysiptera sylvia,18,Tanysiptera sylvia,7
Taoniscus nanus,38,Taoniscus nanus,0
Tapera naevia,302,Tapera naevia,29
Taphrolesbia griseiventris,4,Taphrolesbia griseiventris,6
Taphrospilus hypostictus,6,Taphrospilus hypostictus,6
Taraba major,361,Taraba major,37
Tarphonomus certhioides,50,Tarphonomus certhioides,20
Tarphonomus harterti,21,Tarphonomus harterti,14
Tarsiger chrysaeus,40,Tarsiger chrysaeus,11
Tarsiger cyanurus,177,Tarsiger cyanurus,173
Tarsiger hyperythrus,2,Tarsiger hyperythrus,5
Tarsiger indicus,52,Tarsiger indicus,7
Tarsiger johnstoniae,18,Tarsiger johnstoniae,4
Tarsiger rufilatus,33,Tarsiger rufilatus,127
Tauraco bannermani,8,Tauraco bannermani,6
Tauraco corythaix,25,Tauraco corythaix,22
Tauraco erythrolophus,1,Tauraco erythrolophus,77376
Tauraco fischeri,6,Tauraco fischeri,17
Tauraco hartlaubi,35,Tauraco hartlaubi,71
Tauraco leucolophus,2,Tauraco leucolophus,22
Tauraco leucotis,13,Tauraco leucotis,26
Tauraco livingstonii,203,Tauraco livingstonii,38
Tauraco macrorhynchus,32,Tauraco macrorhynchus,44
Tauraco persa,29,Tauraco persa,59
Tauraco porphyreolophus,49,Tauraco porphyreolophus,36
Tauraco ruspolii,6,Tauraco ruspolii,4
Tauraco schalowi,35,Tauraco schalowi,39
Tauraco schuettii,11,Tauraco schuettii,38
Tchagra australis,57,Tchagra australis,20
Tchagra jamesi,3,Tchagra jamesi,0
Tchagra minutus,4,Tchagra minutus,11
Tchagra senegalus,136,Tchagra senegalus,13
Tchagra tchagra,18,Tchagra tchagra,0
Telacanthura melanopygia,1,Telacanthura melanopygia,0
Telacanthura ussheri,2,Telacanthura ussheri,0
Teledromas fuscus,20,Teledromas fuscus,5
Telespiza cantans,0,Telespiza cantans,36
Telespiza ultima,3,Telespiza ultima,15
Telophorus bocagei,22,Telophorus bocagei,4
Telophorus dohertyi,29,Telophorus dohertyi,20
Telophorus kupeensis,2,Telophorus kupeensis,0
Telophorus multicolor,6,Telophorus multicolor,0
Telophorus nigrifrons,67,Telophorus nigrifrons,13
Telophorus olivaceus,61,Telophorus olivaceus,0
Telophorus sulfureopectus,116,Telophorus sulfureopectus,25
Telophorus viridis,35,Telophorus viridis,0
Telophorus zeylonus,144,Telophorus zeylonus,12
Temnurus temnurus,22,Temnurus temnurus,3
Tephrodornis affinis,1,Tephrodornis affinis,0
Tephrodornis pondicerianus,26,Tephrodornis pondicerianus,16
Tephrodornis sylvicola,11,Tephrodornis sylvicola,0
Tephrodornis virgatus,37,Tephrodornis virgatus,15
Tephrozosterops stalkeri,0,Tephrozosterops stalkeri,1
Terathopius ecaudatus,1,Terathopius ecaudatus,10
Terenotriccus erythrurus,74,Terenotriccus erythrurus,32
Terenura maculata,84,Terenura maculata,16
Terenura sicki,24,Terenura sicki,0
Teretistris fernandinae,11,Teretistris fernandinae,14
Teretistris fornsi,8,Teretistris fornsi,0
Terpsiphone affinis,63,Terpsiphone affinis,32
Terpsiphone atrocaudata,157,Terpsiphone atrocaudata,42
Terpsiphone atrochalybeia,10,Terpsiphone atrochalybeia,7
Terpsiphone batesi,1,Terpsiphone batesi,25
Terpsiphone bedfordi,0,Terpsiphone bedfordi,12
Terpsiphone bourbonnensis,28,Terpsiphone bourbonnensis,6
Terpsiphone cinnamomea,23,Terpsiphone cinnamomea,27
Terpsiphone corvina,8,Terpsiphone corvina,248
Terpsiphone cyanescens,10,Terpsiphone cyanescens,18
Terpsiphone incei,10,Terpsiphone incei,6
Terpsiphone mutata,24,Terpsiphone mutata,32
Terpsiphone paradisi,31,Terpsiphone paradisi,58
Terpsiphone rufiventer,44,Terpsiphone rufiventer,60
Terpsiphone rufocinerea,11,Terpsiphone rufocinerea,13
Terpsiphone viridis,138,Terpsiphone viridis,109
Tersina viridis,81,Tersina viridis,37
Tesia cyaniventer,85,Tesia cyaniventer,5
Tesia everetti,27,Tesia everetti,8
Tesia olivea,61,Tesia olivea,18
Tesia superciliaris,39,Tesia superciliaris,4
Tetrao mlokosiewiczi,1,Tetrao mlokosiewiczi,41
Tetrao tetrix,142,Tetrao tetrix,291
Tetrao urogalloides,15,Tetrao urogalloides,52
Tetrao urogallus,81,Tetrao urogallus,371
Tetraogallus altaicus,18,Tetraogallus altaicus,13
Tetraogallus caspius,12,Tetraogallus caspius,2
Tetraogallus caucasicus,9,Tetraogallus caucasicus,0
Tetraogallus himalayensis,9,Tetraogallus himalayensis,112
Tetraogallus tibetanus,16,Tetraogallus tibetanus,83
Tetraophasis obscurus,15,Tetraophasis obscurus,17
Tetraophasis szechenyii,10,Tetraophasis szechenyii,157
Tetrastes bonasia,178,Tetrastes bonasia,140
Tetrastes sewerzowi,1,Tetrastes sewerzowi,37
Tetrax tetrax,40,Tetrax tetrax,14
Thalassarche bulleri,2,Thalassarche bulleri,182
Thalassarche cauta,15,Thalassarche cauta,59
Thalassarche chlororhynchos,1,Thalassarche chlororhynchos,5
Thalassarche chrysostoma,0,Thalassarche chrysostoma,66
Thalassarche eremita,2,Thalassarche eremita,3
Thalassarche melanophris,17,Thalassarche melanophris,79
Thalassarche salvini,9,Thalassarche salvini,3
Thalasseus bengalensis,12,Thalasseus bengalensis,84
Thalasseus bergii,28,Thalasseus bergii,45
Thalasseus bernsteini,1,Thalasseus bernsteini,24
Thalasseus elegans,101,Thalasseus elegans,131
Thalasseus maximus,106,Thalasseus maximus,39
Thalasseus sandvicensis,273,Thalasseus sandvicensis,187
Thalassoica antarctica,3,Thalassoica antarctica,13
Thalassornis leuconotus,1,Thalassornis leuconotus,3
Thalurania colombica,41,Thalurania colombica,32
Thalurania furcata,45,Thalurania furcata,184
Thalurania glaucopis,56,Thalurania glaucopis,38
Thalurania ridgwayi,2,Thalurania ridgwayi,14
Thalurania watertonii,10,Thalurania watertonii,12
Thamnistes anabatinus,52,Thamnistes anabatinus,13
Thamnistes rufescens,3,Thamnistes rufescens,0
Thamnolaea cinnamomeiventris,47,Thamnolaea cinnamomeiventris,21
Thamnolaea semirufa,4,Thamnolaea semirufa,5
Thamnomanes ardesiacus,114,Thamnomanes ardesiacus,120
Thamnomanes caesius,184,Thamnomanes caesius,207
Thamnomanes saturninus,54,Thamnomanes saturninus,66
Thamnomanes schistogynus,69,Thamnomanes schistogynus,34
Thamnophilus aethiops,170,Thamnophilus aethiops,325
Thamnophilus amazonicus,119,Thamnophilus amazonicus,40
Thamnophilus ambiguus,88,Thamnophilus ambiguus,66
Thamnophilus aroyae,9,Thamnophilus aroyae,9
Thamnophilus atrinucha,193,Thamnophilus atrinucha,38
Thamnophilus bernardi,73,Thamnophilus bernardi,8
Thamnophilus bridgesi,56,Thamnophilus bridgesi,10
Thamnophilus caerulescens,236,Thamnophilus caerulescens,231
Thamnophilus cryptoleucus,31,Thamnophilus cryptoleucus,13
Thamnophilus divisorius,5,Thamnophilus divisorius,5
Thamnophilus doliatus,341,Thamnophilus doliatus,41
Thamnophilus insignis,16,Thamnophilus insignis,8
Thamnophilus melanonotus,35,Thamnophilus melanonotus,2
Thamnophilus melanothorax,11,Thamnophilus melanothorax,2
Thamnophilus multistriatus,94,Thamnophilus multistriatus,1
Thamnophilus murinus,148,Thamnophilus murinus,36
Thamnophilus nigriceps,34,Thamnophilus nigriceps,7
Thamnophilus nigrocinereus,40,Thamnophilus nigrocinereus,37
Thamnophilus palliatus,111,Thamnophilus palliatus,6
Thamnophilus pelzelni,89,Thamnophilus pelzelni,72
Thamnophilus praecox,36,Thamnophilus praecox,8
Thamnophilus punctatus,133,Thamnophilus punctatus,27
Thamnophilus ruficapillus,122,Thamnophilus ruficapillus,12
Thamnophilus schistaceus,140,Thamnophilus schistaceus,7
Thamnophilus stictocephalus,61,Thamnophilus stictocephalus,17
Thamnophilus sticturus,19,Thamnophilus sticturus,3
Thamnophilus tenuepunctatus,67,Thamnophilus tenuepunctatus,5
Thamnophilus torquatus,59,Thamnophilus torquatus,5
Thamnophilus unicolor,129,Thamnophilus unicolor,18
Thamnophilus zarumae,23,Thamnophilus zarumae,5
Thamnornis chloropetoides,15,Thamnornis chloropetoides,16
Thaumastura cora,8,Thaumastura cora,26
Thectocercus acuticaudatus,77,Thectocercus acuticaudatus,44
Theristicus branickii,14,Theristicus branickii,0
Theristicus caerulescens,51,Theristicus caerulescens,12
Theristicus caudatus,103,Theristicus caudatus,21
Theristicus melanopis,39,Theristicus melanopis,10
Thescelocichla leucopleura,43,Thescelocichla leucopleura,6
Thinocorus orbignyianus,30,Thinocorus orbignyianus,43
Thinocorus rumicivorus,20,Thinocorus rumicivorus,5
Thinornis cucullatus,1,Thinornis cucullatus,20
Thinornis novaeseelandiae,3,Thinornis novaeseelandiae,30
Thlypopsis fulviceps,5,Thlypopsis fulviceps,1
Thlypopsis inornata,15,Thlypopsis inornata,2
Thlypopsis ornata,19,Thlypopsis ornata,7
Thlypopsis pectoralis,4,Thlypopsis pectoralis,2
Thlypopsis pyrrhocoma,45,Thlypopsis pyrrhocoma,9
Thlypopsis ruficeps,11,Thlypopsis ruficeps,9
Thlypopsis sordida,59,Thlypopsis sordida,13
Thlypopsis superciliaris,89,Thlypopsis superciliaris,7
Thraupis abbas,33,Thraupis abbas,7
Thraupis cyanocephala,53,Thraupis cyanocephala,11
Thraupis cyanoptera,29,Thraupis cyanoptera,2
Thraupis episcopus,185,Thraupis episcopus,57
Thraupis glaucocolpa,6,Thraupis glaucocolpa,0
Thraupis ornata,43,Thraupis ornata,3
Thraupis palmarum,169,Thraupis palmarum,13
Thraupis sayaca,124,Thraupis sayaca,36
Threnetes leucurus,20,Threnetes leucurus,6
Threnetes niger,0,Threnetes niger,2
Threnetes ruckeri,40,Threnetes ruckeri,15
Threskiornis aethiopicus,8,Threskiornis aethiopicus,65
Threskiornis bernieri,0,Threskiornis bernieri,0
Threskiornis melanocephalus,6,Threskiornis melanocephalus,3
Threskiornis molucca,13,Threskiornis molucca,3
Threskiornis solitarius,0,Threskiornis solitarius,0
Threskiornis spinicollis,4,Threskiornis spinicollis,0
Thripadectes flammulatus,48,Thripadectes flammulatus,22
Thripadectes holostictus,87,Thripadectes holostictus,29
Thripadectes ignobilis,36,Thripadectes ignobilis,12
Thripadectes melanorhynchus,54,Thripadectes melanorhynchus,8
Thripadectes rufobrunneus,20,Thripadectes rufobrunneus,11
Thripadectes scrutator,13,Thripadectes scrutator,12
Thripadectes virgaticeps,89,Thripadectes virgaticeps,11
Thripophaga amacurensis,4,Thripophaga amacurensis,0
Thripophaga berlepschi,12,Thripophaga berlepschi,5
Thripophaga cherriei,6,Thripophaga cherriei,5
Thripophaga fusciceps,31,Thripophaga fusciceps,8
Thripophaga macroura,28,Thripophaga macroura,0
Thryomanes bewickii,653,Thryomanes bewickii,22
Thryophilus nicefori,100,Thryophilus nicefori,1
Thryophilus pleurostictus,147,Thryophilus pleurostictus,103
Thryophilus rufalbus,186,Thryophilus rufalbus,10
Thryophilus sernai,74,Thryophilus sernai,3
Thryophilus sinaloa,140,Thryophilus sinaloa,2
Thryorchilus browni,34,Thryorchilus browni,7
Thryothorus ludovicianus,537,Thryothorus ludovicianus,27
Tiaris olivaceus,114,Tiaris olivaceus,40
Tichodroma muraria,31,Tichodroma muraria,18
Tickellia hodgsoni,15,Tickellia hodgsoni,6
Tigriornis leucolopha,3,Tigriornis leucolopha,0
Tigrisoma fasciatum,4,Tigrisoma fasciatum,4
Tigrisoma lineatum,64,Tigrisoma lineatum,13
Tigrisoma mexicanum,25,Tigrisoma mexicanum,0
Tijuca atra,58,Tijuca atra,4
Tijuca condita,9,Tijuca condita,0
Tilmatura dupontii,1,Tilmatura dupontii,23
Timalia pileata,55,Timalia pileata,13
Timeliopsis fulvigula,0,Timeliopsis fulvigula,5
Timeliopsis griseigula,1,Timeliopsis griseigula,4
Tinamotis ingoufi,1,Tinamotis ingoufi,2
Tinamotis pentlandii,11,Tinamotis pentlandii,4
Tinamus guttatus,47,Tinamus guttatus,101583
Tinamus major,109,Tinamus major,39
Tinamus osgoodi,11,Tinamus osgoodi,0
Tinamus solitarius,57,Tinamus solitarius,1
Tinamus tao,55,Tinamus tao,1
Tityra cayana,72,Tityra cayana,16
Tityra inquisitor,24,Tityra inquisitor,19
Tityra semifasciata,92,Tityra semifasciata,69
Tmetothylacus tenellus,1,Tmetothylacus tenellus,6
Tockus damarensis,7,Tockus damarensis,23
Tockus deckeni,16,Tockus deckeni,1
Tockus erythrorhynchus,43,Tockus erythrorhynchus,18
Tockus flavirostris,3,Tockus flavirostris,8
Tockus jacksoni,11,Tockus jacksoni,3
Tockus kempi,22,Tockus kempi,2
Tockus leucomelas,24,Tockus leucomelas,8
Tockus monteiri,2,Tockus monteiri,6
Tockus ruahae,7,Tockus ruahae,4
Tockus rufirostris,15,Tockus rufirostris,20
Todiramphus albicilla,3,Todiramphus albicilla,47
Todiramphus albonotatus,5,Todiramphus albonotatus,2
Todiramphus australasia,34,Todiramphus australasia,5
Todiramphus chloris,95,Todiramphus chloris,164
Todiramphus cinnamominus,0,Todiramphus cinnamominus,8
Todiramphus colonus,5,Todiramphus colonus,28
Todiramphus diops,4,Todiramphus diops,2
Todiramphus enigma,2,Todiramphus enigma,2
Todiramphus farquhari,3,Todiramphus farquhari,17
Todiramphus funebris,20,Todiramphus funebris,2
Todiramphus gambieri,0,Todiramphus gambieri,1
Todiramphus gertrudae,0,Todiramphus gertrudae,5
Todiramphus godeffroyi,1,Todiramphus godeffroyi,8
Todiramphus lazuli,3,Todiramphus lazuli,2
Todiramphus leucopygius,10,Todiramphus leucopygius,32
Todiramphus macleayii,17,Todiramphus macleayii,19
Todiramphus nigrocyaneus,22,Todiramphus nigrocyaneus,9
Todiramphus pelewensis,0,Todiramphus pelewensis,19
Todiramphus pyrrhopygius,8,Todiramphus pyrrhopygius,11
Todiramphus recurvirostris,3,Todiramphus recurvirostris,9
Todiramphus reichenbachii,3,Todiramphus reichenbachii,4
Todiramphus ruficollaris,2,Todiramphus ruficollaris,20
Todiramphus sacer,16,Todiramphus sacer,195
Todiramphus sanctus,45,Todiramphus sanctus,193
Todiramphus saurophagus,13,Todiramphus saurophagus,28
Todiramphus sordidus,11,Todiramphus sordidus,29
Todiramphus tristrami,17,Todiramphus tristrami,95
Todiramphus tutus,9,Todiramphus tutus,39
Todiramphus veneratus,3,Todiramphus veneratus,15
Todiramphus winchelli,17,Todiramphus winchelli,36
Todirostrum chrysocrotaphum,64,Todirostrum chrysocrotaphum,0
Todirostrum cinereum,225,Todirostrum cinereum,27
Todirostrum maculatum,53,Todirostrum maculatum,7
Todirostrum nigriceps,35,Todirostrum nigriceps,0
Todirostrum pictum,46,Todirostrum pictum,5
Todirostrum poliocephalum,109,Todirostrum poliocephalum,0
Todirostrum viridanum,8,Todirostrum viridanum,0
Todus angustirostris,5,Todus angustirostris,109
Todus mexicanus,11,Todus mexicanus,17
Todus multicolor,11,Todus multicolor,10
Todus subulatus,12,Todus subulatus,71
Todus todus,5,Todus todus,18
Tolmomyias assimilis,137,Tolmomyias assimilis,31
Tolmomyias flaviventris,265,Tolmomyias flaviventris,16
Tolmomyias poliocephalus,162,Tolmomyias poliocephalus,18
Tolmomyias sulphurescens,462,Tolmomyias sulphurescens,17
Tolmomyias traylori,33,Tolmomyias traylori,0
Topaza pella,28,Topaza pella,46
Topaza pyra,39,Topaza pyra,23
Torgos tracheliotos,0,Torgos tracheliotos,18
Torreornis inexpectata,9,Torreornis inexpectata,1
Touit batavicus,14,Touit batavicus,5
Touit costaricensis,1,Touit costaricensis,0
Touit dilectissimus,30,Touit dilectissimus,0
Touit huetii,21,Touit huetii,0
Touit melanonotus,23,Touit melanonotus,0
Touit purpuratus,25,Touit purpuratus,8
Touit stictopterus,18,Touit stictopterus,0
Touit surdus,20,Touit surdus,0
Toxorhamphus novaeguineae,28,Toxorhamphus novaeguineae,4
Toxorhamphus poliopterus,4,Toxorhamphus poliopterus,4
Toxostoma bendirei,49,Toxostoma bendirei,20
Toxostoma cinereum,17,Toxostoma cinereum,10
Toxostoma crissale,124,Toxostoma crissale,38
Toxostoma curvirostre,425,Toxostoma curvirostre,263
Toxostoma guttatum,1,Toxostoma guttatum,6
Toxostoma lecontei,36,Toxostoma lecontei,346
Toxostoma longirostre,52,Toxostoma longirostre,19
Toxostoma ocellatum,27,Toxostoma ocellatum,3
Toxostoma redivivum,122,Toxostoma redivivum,184
Toxostoma rufum,178,Toxostoma rufum,37
Trachyphonus darnaudii,35,Trachyphonus darnaudii,11
Trachyphonus erythrocephalus,21,Trachyphonus erythrocephalus,5
Trachyphonus margaritatus,14,Trachyphonus margaritatus,3
Trachyphonus purpuratus,40,Trachyphonus purpuratus,6
Trachyphonus vaillantii,68,Trachyphonus vaillantii,0
Tragopan blythii,11,Tragopan blythii,34
Tragopan caboti,5,Tragopan caboti,33
Tragopan melanocephalus,3,Tragopan melanocephalus,1
Tragopan satyra,5,Tragopan satyra,46
Tragopan temminckii,8,Tragopan temminckii,117
Traversia lyalli,0,Traversia lyalli,1
Tregellasia capito,17,Tregellasia capito,16
Tregellasia leucops,9,Tregellasia leucops,30
Treron affinis,14,Treron affinis,0
Treron apicauda,3,Treron apicauda,2
Treron aromaticus,0,Treron aromaticus,0
Treron australis,2,Treron australis,2
Treron axillaris,4,Treron axillaris,0
Treron bicinctus,5,Treron bicinctus,2
Treron calvus,24,Treron calvus,26
Treron capellei,8,Treron capellei,0
Treron chloropterus,3,Treron chloropterus,0
Treron curvirostra,30,Treron curvirostra,7
Treron floris,6,Treron floris,0
Treron formosae,21,Treron formosae,12
Treron fulvicollis,3,Treron fulvicollis,0
Treron griseicauda,8,Treron griseicauda,0
Treron griveaudi,4,Treron griveaudi,1
Treron olax,8,Treron olax,0
Treron oxyurus,8,Treron oxyurus,0
Treron pembaensis,3,Treron pembaensis,0
Treron phayrei,9,Treron phayrei,1
Treron phoenicopterus,11,Treron phoenicopterus,3
Treron pompadora,2,Treron pompadora,1
Treron psittaceus,3,Treron psittaceus,0
Treron sanctithomae,3,Treron sanctithomae,2
Treron seimundi,5,Treron seimundi,0
Treron sieboldii,38,Treron sieboldii,18
Treron sphenurus,18,Treron sphenurus,2
Treron teysmannii,5,Treron teysmannii,0
Treron vernans,22,Treron vernans,1376
Treron waalia,14,Treron waalia,11
Tribonyx hodgenorum,NA,Tribonyx hodgenorum,0
Tribonyx mortierii,13,Tribonyx mortierii,4
Tribonyx ventralis,1,Tribonyx ventralis,4
Trichodere cockerelli,7,Trichodere cockerelli,4
Trichoglossus capistratus,9,Trichoglossus capistratus,9
Trichoglossus chlorolepidotus,17,Trichoglossus chlorolepidotus,13
Trichoglossus euteles,17,Trichoglossus euteles,5
Trichoglossus flavoviridis,6,Trichoglossus flavoviridis,7
Trichoglossus forsteni,3,Trichoglossus forsteni,11
Trichoglossus haematodus,41,Trichoglossus haematodus,50
Trichoglossus johnstoniae,3,Trichoglossus johnstoniae,10
Trichoglossus moluccanus,58,Trichoglossus moluccanus,5
Trichoglossus ornatus,9,Trichoglossus ornatus,10
Trichoglossus rubiginosus,5,Trichoglossus rubiginosus,0
Trichoglossus rubritorquis,7,Trichoglossus rubritorquis,10
Trichoglossus weberi,7,Trichoglossus weberi,5
Tricholaema diademata,17,Tricholaema diademata,6
Tricholaema frontata,8,Tricholaema frontata,0
Tricholaema hirsuta,17,Tricholaema hirsuta,7
Tricholaema lacrymosa,9,Tricholaema lacrymosa,2
Tricholaema leucomelas,37,Tricholaema leucomelas,3
Tricholaema melanocephala,23,Tricholaema melanocephala,0
Tricholestes criniger,27,Tricholestes criniger,58
Trichothraupis melanops,77,Trichothraupis melanops,170
Triclaria malachitacea,42,Triclaria malachitacea,17
Trigonoceps occipitalis,0,Trigonoceps occipitalis,9
Tringa brevipes,29,Tringa brevipes,25
Tringa erythropus,159,Tringa erythropus,24
Tringa flavipes,194,Tringa flavipes,33
Tringa glareola,449,Tringa glareola,35
Tringa guttifer,7,Tringa guttifer,2
Tringa incana,16,Tringa incana,22
Tringa melanoleuca,166,Tringa melanoleuca,26
Tringa nebularia,433,Tringa nebularia,29
Tringa ochropus,519,Tringa ochropus,25
Tringa semipalmata,142,Tringa semipalmata,39
Tringa solitaria,121,Tringa solitaria,24
Tringa stagnatilis,82,Tringa stagnatilis,15
Tringa totanus,710,Tringa totanus,46
Trochalopteron affine,51,Trochalopteron affine,39
Trochalopteron austeni,13,Trochalopteron austeni,5
Trochalopteron chrysopterum,35,Trochalopteron chrysopterum,11
Trochalopteron elliotii,48,Trochalopteron elliotii,512
Trochalopteron erythrocephalum,87,Trochalopteron erythrocephalum,36
Trochalopteron formosum,9,Trochalopteron formosum,26
Trochalopteron henrici,19,Trochalopteron henrici,6
Trochalopteron imbricatum,24,Trochalopteron imbricatum,6
Trochalopteron lineatum,39,Trochalopteron lineatum,36
Trochalopteron melanostigma,27,Trochalopteron melanostigma,5
Trochalopteron milnei,13,Trochalopteron milnei,32
Trochalopteron morrisonianum,36,Trochalopteron morrisonianum,24
Trochalopteron ngoclinhense,6,Trochalopteron ngoclinhense,0
Trochalopteron peninsulae,21,Trochalopteron peninsulae,5
Trochalopteron squamatum,41,Trochalopteron squamatum,21
Trochalopteron subunicolor,26,Trochalopteron subunicolor,41
Trochalopteron variegatum,18,Trochalopteron variegatum,19
Trochalopteron virgatum,15,Trochalopteron virgatum,11
Trochalopteron yersini,19,Trochalopteron yersini,5
Trochilus polytmus,5,Trochilus polytmus,42
Trochocercus cyanomelas,57,Trochocercus cyanomelas,22
Trochocercus nitens,16,Trochocercus nitens,22
Troglodytes aedon,1455,Troglodytes aedon,1000
Troglodytes cobbi,6,Troglodytes cobbi,28
Troglodytes hiemalis,234,Troglodytes hiemalis,11
Troglodytes monticola,14,Troglodytes monticola,0
Troglodytes ochraceus,33,Troglodytes ochraceus,2
Troglodytes pacificus,216,Troglodytes pacificus,45
Troglodytes rufociliatus,63,Troglodytes rufociliatus,2
Troglodytes rufulus,17,Troglodytes rufulus,4
Troglodytes sissonii,2,Troglodytes sissonii,1
Troglodytes solstitialis,181,Troglodytes solstitialis,8
Troglodytes tanneri,1,Troglodytes tanneri,0
Troglodytes troglodytes,2491,Troglodytes troglodytes,679
Trogon bairdii,31,Trogon bairdii,4
Trogon caligatus,125,Trogon caligatus,0
Trogon chionurus,97,Trogon chionurus,1
Trogon citreolus,32,Trogon citreolus,6
Trogon clathratus,14,Trogon clathratus,4
Trogon collaris,280,Trogon collaris,44
Trogon comptus,39,Trogon comptus,10
Trogon curucui,114,Trogon curucui,23
Trogon elegans,140,Trogon elegans,11
Trogon massena,83,Trogon massena,16
Trogon melanocephalus,49,Trogon melanocephalus,18
Trogon melanurus,158,Trogon melanurus,0
Trogon mesurus,18,Trogon mesurus,0
Trogon mexicanus,72,Trogon mexicanus,21
Trogon personatus,191,Trogon personatus,1199
Trogon ramonianus,62,Trogon ramonianus,0
Trogon rufus,233,Trogon rufus,66
Trogon surrucura,145,Trogon surrucura,13
Trogon violaceus,51,Trogon violaceus,28
Trogon viridis,259,Trogon viridis,60
Trugon terrestris,2,Trugon terrestris,13
Tumbezia salvini,22,Tumbezia salvini,8
Tunchiornis ochraceiceps,152,Tunchiornis ochraceiceps,86
Turacoena manadensis,6,Turacoena manadensis,11
Turacoena modesta,8,Turacoena modesta,0
Turacoena sulaensis,4,Turacoena sulaensis,0
Turdinus abbotti,112,Turdinus abbotti,23
Turdinus atrigularis,41,Turdinus atrigularis,0
Turdinus brevicaudatus,86,Turdinus brevicaudatus,23
Turdinus crassus,35,Turdinus crassus,14
Turdinus crispifrons,21,Turdinus crispifrons,2
Turdinus macrodactylus,60,Turdinus macrodactylus,7
Turdinus marmoratus,22,Turdinus marmoratus,0
Turdinus perspicillatus,0,Turdinus perspicillatus,0
Turdinus rufipectus,25,Turdinus rufipectus,0
Turdinus sepiarius,98,Turdinus sepiarius,10
Turdoides affinis,40,Turdoides affinis,7
Turdoides altirostris,7,Turdoides altirostris,5
Turdoides atripennis,8,Turdoides atripennis,30
Turdoides aylmeri,12,Turdoides aylmeri,5
Turdoides bicolor,5,Turdoides bicolor,20
Turdoides caudata,17,Turdoides caudata,4
Turdoides chapini,0,Turdoides chapini,11
Turdoides earlei,17,Turdoides earlei,10
Turdoides fulva,16,Turdoides fulva,10
Turdoides gilberti,4,Turdoides gilberti,10
Turdoides gularis,5,Turdoides gularis,19
Turdoides gymnogenys,4,Turdoides gymnogenys,5
Turdoides hartlaubii,27,Turdoides hartlaubii,5
Turdoides hindei,7,Turdoides hindei,0
Turdoides huttoni,21,Turdoides huttoni,5
Turdoides hypoleuca,6,Turdoides hypoleuca,5
Turdoides jardineii,72,Turdoides jardineii,31
Turdoides leucocephala,0,Turdoides leucocephala,5
Turdoides leucopygia,16,Turdoides leucopygia,5
Turdoides longirostris,10,Turdoides longirostris,8
Turdoides malcolmi,32,Turdoides malcolmi,11
Turdoides melanops,2,Turdoides melanops,0
Turdoides nipalensis,11,Turdoides nipalensis,9
Turdoides plebejus,29,Turdoides plebejus,18
Turdoides reinwardtii,29,Turdoides reinwardtii,17
Turdoides rubiginosa,12,Turdoides rubiginosa,11
Turdoides rufescens,18,Turdoides rufescens,5
Turdoides rufocincta,0,Turdoides rufocincta,1
Turdoides sharpei,24,Turdoides sharpei,10
Turdoides squamiceps,12,Turdoides squamiceps,15
Turdoides squamulata,2,Turdoides squamulata,5
Turdoides striata,91,Turdoides striata,11
Turdoides subrufa,29,Turdoides subrufa,5
Turdoides tenebrosa,4,Turdoides tenebrosa,5
Turdus abyssinicus,48,Turdus abyssinicus,42
Turdus albicollis,199,Turdus albicollis,51
Turdus albocinctus,23,Turdus albocinctus,10
Turdus amaurochalinus,125,Turdus amaurochalinus,31
Turdus arthuri,NA,Turdus arthuri,10
Turdus assimilis,138,Turdus assimilis,178
Turdus atrogularis,38,Turdus atrogularis,20
Turdus aurantius,10,Turdus aurantius,10
Turdus bewsheri,10,Turdus bewsheri,11
Turdus boulboul,31,Turdus boulboul,8
Turdus cardis,84,Turdus cardis,19
Turdus celaenops,19,Turdus celaenops,8
Turdus chiguanco,124,Turdus chiguanco,14
Turdus chrysolaus,52,Turdus chrysolaus,33
Turdus dissimilis,8,Turdus dissimilis,8
Turdus eremita,6,Turdus eremita,7
Turdus eunomus,85,Turdus eunomus,27
Turdus falcklandii,101,Turdus falcklandii,119
Turdus feae,8,Turdus feae,4
Turdus flavipes,191,Turdus flavipes,11
Turdus fulviventris,36,Turdus fulviventris,7
Turdus fumigatus,43,Turdus fumigatus,18
Turdus fuscater,221,Turdus fuscater,10
Turdus grayi,272,Turdus grayi,43
Turdus haplochrous,12,Turdus haplochrous,7
