GenBankID,GB_Nucleotide_Seqs,GenBank_Name,GenBank_Group,EBirdClements_Names,Ebird_Group,Clements_Order,Clements_Family,Reconciliation,IUCN_Status
68482,94,Acrocephalus_gracilirostris,species,Acrocephalus_gracilirostris,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
68479,19,Acrocephalus_griseldis,species,Acrocephalus_griseldis,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Endangered
1114299,14,Acrocephalus_hiwae,species,Acrocephalus_hiwae,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Critically Endangered
435340,0,Acrocephalus_kerearako,species,Acrocephalus_kerearako,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Near Threatened
1114297,6,Acrocephalus_longirostris,species,Acrocephalus_longirostris,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Critically Endangered
435332,0,Acrocephalus_luscinius,species,Acrocephalus_luscinius,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Extinct
68470,77,Acrocephalus_melanopogon,species,Acrocephalus_melanopogon,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
435338,3,Acrocephalus_mendanae,species,Acrocephalus_mendanae,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
992917,4,Acrocephalus_musae,species,Acrocephalus_musae,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Extinct
68480,24,Acrocephalus_newtoni,species,Acrocephalus_newtoni,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
N/A,N/A,N/A,N/A,Acrocephalus_nijoi,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Extinct
68483,47,Acrocephalus_orientalis,species,Acrocephalus_orientalis,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
161545,44,Acrocephalus_orinus,species,Acrocephalus_orinus,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Data Deficient
68471,32,Acrocephalus_paludicola,species,Acrocephalus_paludicola,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Vulnerable
68475,297,Acrocephalus_palustris,species,Acrocephalus_palustris,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
857054,7,Acrocephalus_percernis,species,Acrocephalus_percernis,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Least Concern
435334,2,Acrocephalus_rehsei,species,Acrocephalus_rehsei,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Vulnerable
435341,13,Acrocephalus_rimitarae,species,Acrocephalus_rimitarae,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),,Critically Endangered
