no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
138,Crested Duck,Lophonetta specularioides,,37,5,Lophonetta specularioides,,,,138,Salvadori's Teal,Salvadorina waigiuensis
139,Bronze-winged Duck,Speculanas specularis,,5,0,Speculanas specularis,,,,139,Baikal Teal,Sibirionetta formosa
140,Baikal Teal,Sibirionetta formosa,,5,0,Sibirionetta formosa,,,,140,Garganey,Spatula querquedula
141,Garganey,Spatula querquedula,,98,22,Spatula querquedula,,,,141,Hottentot Teal,Spatula hottentota
142,Hottentot Teal,Spatula hottentota,,3,0,Spatula hottentota,,,,142,Silver Teal,Spatula versicolor
143,Puna Teal,Spatula puna,,19,0,Spatula puna,,,,143,Puna Teal,Spatula puna
144,Silver Teal,Spatula versicolor,,10,0,Spatula versicolor,,,,144,Blue-winged Teal,Spatula discors
145,Red Shoveler,Spatula platalea,,5,0,Spatula platalea,,,,145,Cinnamon Teal,Spatula cyanoptera
146,Cinnamon Teal,Spatula cyanoptera,,22,2,Spatula cyanoptera,,,,146,Red Shoveler,Spatula platalea
147,Blue-winged Teal,Spatula discors,,76,20,Spatula discors,,,,147,Cape Shoveler,Spatula smithii
148,Cape Shoveler,Spatula smithii,,9,0,Spatula smithii,,,,148,Australian Shoveler,Spatula rhynchotis
149,Australasian Shoveler,Spatula rhynchotis,,1,0,Spatula rhynchotis,,,,149,Northern Shoveler,Spatula clypeata
150,Northern Shoveler,Spatula clypeata,,110,141,Spatula clypeata,,,,150,Gadwall,Mareca strepera
151,Gadwall,Mareca strepera,,207,201,Mareca strepera,,,,151,Falcated Duck,Mareca falcata
152,Falcated Duck,Mareca falcata,,20,7,Mareca falcata,,,,152,Eurasian Wigeon,Mareca penelope
153,Eurasian Wigeon,Mareca penelope,,265,167,Mareca penelope,,,,153,American Wigeon,Mareca americana
154,Chiloe Wigeon,Mareca sibilatrix,,33,9,Mareca sibilatrix,,,,154,Chiloe Wigeon,Mareca sibilatrix
155,American Wigeon,Mareca americana,,65,30,Mareca americana,,,,155,Amsterdam Duck,Mareca marecula
156,Amsterdam Wigeon,Mareca marecula,Extinct,0,0,Mareca marecula,,,,156,African Black Duck,Anas sparsa
157,African Black Duck,Anas sparsa,,7,2,Anas sparsa,,,,157,Yellow-billed Duck,Anas undulata
158,Yellow-billed Duck,Anas undulata,,30,9,Anas undulata,,,,158,Meller's Duck,Anas melleri
159,Meller's Duck,Anas melleri,,4,0,Anas melleri,,,,159,Pacific Black Duck,Anas superciliosa
160,Pacific Black Duck,Anas superciliosa,,22,9,Anas superciliosa,,,,160,Laysan Duck,Anas laysanensis
161,Laysan Duck,Anas laysanensis,,13,3,Anas laysanensis,,,,161,Hawaiian Duck,Anas wyvilliana
162,Hawaiian Duck,Anas wyvilliana,,6,3,Anas wyvilliana,,,,162,Philippine Duck,Anas luzonica
163,Philippine Duck,Anas luzonica,,4,0,Anas luzonica,,,,163,Indian Spot-billed Duck,Anas poecilorhyncha
164,Indian Spot-billed Duck,Anas poecilorhyncha,,27,8,Anas poecilorhyncha,,,,164,Eastern Spot-billed Duck,Anas zonorhyncha
165,Eastern Spot-billed Duck,Anas zonorhyncha,,26,17,Anas zonorhyncha,,,,165,Mallard,Anas platyrhynchos
166,Mallard,Anas platyrhynchos,,590,1222,Anas platyrhynchos,,,,166,Mexican Duck,Anas diazi
167,Mottled Duck,Anas fulvigula,,16,9,Anas fulvigula,,,,167,American Black Duck,Anas rubripes
168,American Black Duck,Anas rubripes,,16,2,Anas rubripes,,,,168,Mottled Duck,Anas fulvigula
169,Mexican Duck,Anas diazi,,24,11,Anas diazi,,,,169,Cape Teal,Anas capensis
170,Cape Teal,Anas capensis,,4,0,Anas capensis,,,,170,White-cheeked Pintail,Anas bahamensis
171,White-cheeked Pintail,Anas bahamensis,,7,2,Anas bahamensis,,,,171,Red-billed Duck,Anas erythrorhyncha
172,Red-billed Teal,Anas erythrorhyncha,,5,1,Anas erythrorhyncha,,,,172,Northern Pintail,Anas acuta
173,Yellow-billed Pintail,Anas georgica,,40,20,Anas georgica,,,,173,Eaton's Pintail,Anas eatoni
174,Eaton's Pintail,Anas eatoni,,0,0,Anas eatoni,,,,174,Yellow-billed Pintail,Anas georgica
175,Northern Pintail,Anas acuta,,80,78,Anas acuta,,,,175,Green-winged Teal,Anas crecca
176,Eurasian Teal,Anas crecca,,338,237,Anas crecca,,,,176,Andean Teal,Anas andium
177,Green-winged Teal,Anas carolinensis,,53,25,Anas crecca,,,,177,Yellow-billed Teal,Anas flavirostris
178,Yellow-billed Teal,Anas flavirostris,,43,2,Anas flavirostris,,,,178,Mauritius Duck,Anas theodori
179,Andean Teal,Anas andium,,24,3,Anas andium,,,,179,Andaman Teal,Anas albogularis
180,Sunda Teal,Anas gibberifrons,,8,0,Anas gibberifrons,,,,180,Sunda Teal,Anas gibberifrons
181,Andaman Teal,Anas albogularis,,5,1,Anas albogularis,,,,181,Gray Teal,Anas gracilis
182,Mascarene Teal,Anas theodori,Extinct,0,0,Anas theodori,,,,182,Chestnut Teal,Anas castanea
183,Grey Teal,Anas gracilis,,16,8,Anas gracilis,,,,183,Bernier's Teal,Anas bernieri
184,Chestnut Teal,Anas castanea,,5,0,Anas castanea,,,,184,Auckland Islands Teal,Anas aucklandica
185,Bernier's Teal,Anas bernieri,,1,0,Anas bernieri,,,,185,Campbell Islands Teal,Anas nesiotis
186,Brown Teal,Anas chlorotis,,2,0,Anas chlorotis,,,,186,Brown Teal,Anas chlorotis
187,Auckland Teal,Anas aucklandica,,0,0,Anas aucklandica,,,,187,Pink-eared Duck,Malacorhynchus membranaceus
188,Campbell Teal,Anas nesiotis,,4,0,Anas nesiotis,,,,188,Marbled Teal,Marmaronetta angustirostris
189,Marbled Duck,Marmaronetta angustirostris,,5,0,Marmaronetta angustirostris,,,,189,Pink-headed Duck,Rhodonessa caryophyllacea
190,Pink-headed Duck,Rhodonessa caryophyllacea,Extinct,0,0,Rhodonessa caryophyllacea,,,,190,White-winged Duck,Asarcornis scutulata
191,Red-crested Pochard,Netta rufina,,41,25,Netta rufina,,,,191,Red-crested Pochard,Netta rufina
192,Rosy-billed Pochard,Netta peposaca,,12,0,Netta peposaca,,,,192,Southern Pochard,Netta erythrophthalma
193,Southern Pochard,Netta erythrophthalma,,6,0,Netta erythrophthalma,,,,193,Rosy-billed Pochard,Netta peposaca
194,Canvasback,Aythya valisineria,,10,1,Aythya valisineria,,,,194,Canvasback,Aythya valisineria
195,Redhead,Aythya americana,,17,2,Aythya americana,,,,195,Redhead,Aythya americana
196,Common Pochard,Aythya ferina,,77,10,Aythya ferina,,,,196,Common Pochard,Aythya ferina
197,Hardhead,Aythya australis,,1,0,Aythya australis,,,,197,Ring-necked Duck,Aythya collaris
198,Madagascan Pochard,Aythya innotata,,4,0,Aythya innotata,,,,198,Ferruginous Duck,Aythya nyroca
199,Baer's Pochard,Aythya baeri,,1,0,Aythya baeri,,,,199,Madagascar Pochard,Aythya innotata
200,Ferruginous Duck,Aythya nyroca,,14,0,Aythya nyroca,,,,200,Baer's Pochard,Aythya baeri
201,New Zealand Scaup,Aythya novaeseelandiae,,1,0,Aythya novaeseelandiae,,,,201,Hardhead,Aythya australis
202,Ring-necked Duck,Aythya collaris,,35,1,Aythya collaris,,,,202,Tufted Duck,Aythya fuligula
203,Tufted Duck,Aythya fuligula,,129,41,Aythya fuligula,,,,203,New Zealand Scaup,Aythya novaeseelandiae
204,Greater Scaup,Aythya marila,,23,0,Aythya marila,,,,204,Greater Scaup,Aythya marila
