no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
10324,Boat-tailed Grackle,Quiscalus major,,93,225,Quiscalus major,,,,10324,Rose-breasted Grosbeak,Pheucticus ludovicianus
10325,Great-tailed Grackle,Quiscalus mexicanus,,262,628,Quiscalus mexicanus,,,,10325,Black-headed Grosbeak,Pheucticus melanocephalus
10326,Slender-billed Grackle,Quiscalus palustris,Extinct,0,0,Quiscalus palustris,,,,10326,Red-breasted Chat,Granatellus venustus
10327,Red-bellied Grackle,Hypopyrrhus pyrohypogaster,,72,0,Hypopyrrhus pyrohypogaster,,,,10327,Gray-throated Chat,Granatellus sallaei
10328,Velvet-fronted Grackle,Lampropsar tanagrinus,,25,5,Lampropsar tanagrinus,,,,10328,Rose-breasted Chat,Granatellus pelzelni
10329,Oriole Blackbird,Gymnomystax mexicanus,,39,10,Gymnomystax mexicanus,,,,10329,Blue Seedeater,Amaurospiza concolor
10330,Colombian Mountain Grackle,Macroagelaius subalaris,,88,8,Macroagelaius subalaris,,,,10330,Carrizal Seedeater,Amaurospiza carrizalensis
10331,Golden-tufted Mountain Grackle,Macroagelaius imthurni,,31,1,Macroagelaius imthurni,,,,10331,Blackish-blue Seedeater,Amaurospiza moesta
10332,Austral Blackbird,Curaeus curaeus,,72,9,Curaeus curaeus,,,,10332,Glaucous-blue Grosbeak,Cyanoloxia glaucocaerulea
10333,Scarlet-headed Blackbird,Amblyramphus holosericeus,,72,3,Amblyramphus holosericeus,,,,10333,Blue-black Grosbeak,Cyanoloxia cyanoides
10334,Forbes's Blackbird,Anumara forbesi,,14,0,Anumara forbesi,,,,10334,Amazonian Grosbeak,Cyanoloxia rothschildii
10335,Chopi Blackbird,Gnorimopsar chopi,,142,196,Gnorimopsar chopi,,,,10335,Ultramarine Grosbeak,Cyanoloxia brissonii
10336,Bolivian Blackbird,Oreopsar bolivianus,,9,6,Oreopsar bolivianus,,,,10336,Blue Bunting,Cyanocompsa parellina
10337,Greyish Baywing,Agelaioides badius,,114,33,Agelaioides badius,,,,10337,Blue Grosbeak,Passerina caerulea
10338,Pale Baywing,Agelaioides fringillarius,,13,6,Agelaioides fringillarius,,,,10338,Lazuli Bunting,Passerina amoena
10339,Yellow-winged Blackbird,Agelasticus thilius,,78,20,Agelasticus thilius,,,,10339,Indigo Bunting,Passerina cyanea
10340,Pale-eyed Blackbird,Agelasticus xanthophthalmus,,9,1,Agelasticus xanthophthalmus,,,,10340,Rose-bellied Bunting,Passerina rositae
10341,Unicolored Blackbird,Agelasticus cyanopus,,29,10,Agelasticus cyanopus,,,,10341,Orange-breasted Bunting,Passerina leclancherii
10342,Chestnut-capped Blackbird,Chrysomus ruficapillus,,103,43,Chrysomus ruficapillus,,,,10342,Varied Bunting,Passerina versicolor
10343,Yellow-hooded Blackbird,Chrysomus icterocephalus,,89,17,Chrysomus icterocephalus,,,,10343,Painted Bunting,Passerina ciris
10344,Saffron-cowled Blackbird,Xanthopsar flavus,,40,0,Xanthopsar flavus,,,,10344,Dickcissel,Spiza americana
10345,Brown-and-yellow Marshbird,Pseudoleistes virescens,,57,9,Pseudoleistes virescens,,,,10345,Brown Tanager,Orchesticus abeillei
10346,Yellow-rumped Marshbird,Pseudoleistes guirahuro,,95,1,Pseudoleistes guirahuro,,,,10346,Red-crested Cardinal,Paroaria coronata
10347,Ovenbird,Seiurus aurocapilla,,242,444,Seiurus aurocapilla,,,,10347,Red-cowled Cardinal,Paroaria dominicana
10348,Worm-eating Warbler,Helmitheros vermivorum,,123,47,Helmitheros vermivorum,,,,10348,Masked Cardinal,Paroaria nigrogenis
10349,Louisiana Waterthrush,Parkesia motacilla,,152,30,Parkesia motacilla,,,,10349,Red-capped Cardinal,Paroaria gularis
10350,Northern Waterthrush,Parkesia noveboracensis,,296,221,Parkesia noveboracensis,,,,10350,Crimson-fronted Cardinal,Paroaria baeri
10351,Bachman's Warbler,Vermivora bachmanii,,0,0,Vermivora bachmanii,,,,10351,Yellow-billed Cardinal,Paroaria capitata
10352,Golden-winged Warbler,Vermivora chrysoptera,,101,22,Vermivora chrysoptera,,,,10352,Black-faced Tanager,Schistochlamys melanopis
10353,Blue-winged Warbler,Vermivora cyanoptera,,136,78,Vermivora cyanoptera,,,,10353,Cinnamon Tanager,Schistochlamys ruficapillus
10354,Black-and-white Warbler,Mniotilta varia,,234,188,Mniotilta varia,,,,10354,Magpie Tanager,Cissopis leverianus
10355,Prothonotary Warbler,Protonotaria citrea,,88,53,Protonotaria citrea,,,,10355,White-banded Tanager,Neothraupis fasciata
10356,Swainson's Warbler,Limnothlypis swainsonii,,160,29,Limnothlypis swainsonii,,,,10356,Black-and-white Tanager,Conothraupis speculigera
10357,Crescent-chested Warbler,Oreothlypis superciliosa,,84,67,Oreothlypis superciliosa,,,,10357,Cone-billed Tanager,Conothraupis mesoleuca
10358,Flame-throated Warbler,Oreothlypis gutturalis,,18,2,Oreothlypis gutturalis,,,,10358,Scarlet-throated Tanager,Compsothraupis loricata
10359,Tennessee Warbler,Leiothlypis peregrina,,207,205,Leiothlypis peregrina,,,,10359,White-capped Tanager,Sericossypha albocristata
10360,Orange-crowned Warbler,Leiothlypis celata,,292,288,Leiothlypis celata,,,,10360,Hooded Tanager,Nemosia pileata
10361,Colima Warbler,Leiothlypis crissalis,,26,1,Leiothlypis crissalis,,,,10361,Cherry-throated Tanager,Nemosia rourei
10362,Lucy's Warbler,Leiothlypis luciae,,96,279,Leiothlypis luciae,,,,10362,Rufous-crested Tanager,Creurgops verticalis
10363,Nashville Warbler,Leiothlypis ruficapilla,,165,150,Leiothlypis ruficapilla,,,,10363,Slaty Tanager,Creurgops dentatus
10364,Virginia's Warbler,Leiothlypis virginiae,,64,25,Leiothlypis virginiae,,,,10364,Black-capped Hemispingus,Kleinothraupis atropileus
10365,Semper's Warbler,Leucopeza semperi,,0,0,Leucopeza semperi,,,,10365,Orange-browed Hemispingus,Kleinothraupis calophrys
10366,Connecticut Warbler,Oporornis agilis,,56,5,Oporornis agilis,,,,10366,Parodi's Hemispingus,Kleinothraupis parodii
10367,Grey-crowned Yellowthroat,Geothlypis poliocephala,,87,40,Geothlypis poliocephala,,,,10367,Gray-capped Hemispingus,Kleinothraupis reyi
10368,Masked Yellowthroat,Geothlypis aequinoctialis,,34,17,Geothlypis aequinoctialis,,,,10368,Oleaginous Hemispingus,Sphenopsis frontalis
10369,Chiriqui Yellowthroat,Geothlypis chiriquensis,,23,0,Geothlypis semiflava,,,,10369,Black-eared Hemispingus,Sphenopsis melanotis
10370,Black-lored Yellowthroat,Geothlypis auricularis,,36,9,Geothlypis aequinoctialis,,,,10370,Orange-headed Tanager,Thlypopsis sordida
10371,Southern Yellowthroat,Geothlypis velata,,163,44,Geothlypis aequinoctialis,,,,10371,Buff-bellied Tanager,Thlypopsis inornata
10372,MacGillivray's Warbler,Geothlypis tolmiei,,249,121,Geothlypis tolmiei,,,,10372,Fulvous-headed Tanager,Thlypopsis fulviceps
10373,Mourning Warbler,Geothlypis philadelphia,,169,32,Geothlypis philadelphia,,,,10373,Chestnut-headed Tanager,Thlypopsis pyrrhocoma
10374,Kentucky Warbler,Geothlypis formosa,,148,47,Geothlypis formosa,,,,10374,Rust-and-yellow Tanager,Thlypopsis ruficeps
10375,Olive-crowned Yellowthroat,Geothlypis semiflava,,53,16,Geothlypis semiflava,,,,10375,Superciliaried Hemispingus,Thlypopsis superciliaris
10376,Black-polled Yellowthroat,Geothlypis speciosa,,43,3,Geothlypis speciosa,,,,10376,Rufous-chested Tanager,Thlypopsis ornata
10377,Belding's Yellowthroat,Geothlypis beldingi,,12,2,Geothlypis beldingi,,,,10377,Brown-flanked Tanager,Thlypopsis pectoralis
10378,Bahama Yellowthroat,Geothlypis rostrata,,12,3,Geothlypis rostrata,,,,10378,Plain-tailed Warbling-Finch,Microspingus alticola
10379,Altamira Yellowthroat,Geothlypis flavovelata,,4,0,Geothlypis flavovelata,,,,10379,Rusty-browed Warbling-Finch,Microspingus erythrophrys
10380,Common Yellowthroat,Geothlypis trichas,,505,1342,Geothlypis trichas,,,,10380,Buff-throated Warbling-Finch,Microspingus lateralis
10381,Hooded Yellowthroat,Geothlypis nelsoni,,22,3,Geothlypis nelsoni,,,,10381,Gray-throated Warbling-Finch,Microspingus cabanisi
10382,Whistling Warbler,Catharopeza bishopi,,2,0,Catharopeza bishopi,,,,10382,Ringed Warbling-Finch,Microspingus torquatus
10383,Plumbeous Warbler,Setophaga plumbea,,2,0,Setophaga plumbea,,,,10383,Black-capped Warbling-Finch,Microspingus melanoleucus
10384,Elfin Woods Warbler,Setophaga angelae,,7,1,Setophaga angelae,,,,10384,Cinereous Warbling-Finch,Microspingus cinereus
10385,Arrowhead Warbler,Setophaga pharetra,,2,0,Setophaga pharetra,,,,10385,Three-striped Hemispingus,Microspingus trifasciatus
10386,Hooded Warbler,Setophaga citrina,,232,176,Setophaga citrina,,,,10386,Pardusco,Nephelornis oneilli
10387,American Redstart,Setophaga ruticilla,,355,459,Setophaga ruticilla,,,,10387,Black-goggled Tanager,Trichothraupis melanops
10388,Kirtland's Warbler,Setophaga kirtlandii,,50,12,Setophaga kirtlandii,,,,10388,Gray-headed Tanager,Eucometis penicillata
10389,Cape May Warbler,Setophaga tigrina,,93,9,Setophaga tigrina,,,,10389,Flame-crested Tanager,Tachyphonus cristatus
10390,Cerulean Warbler,Setophaga cerulea,,102,31,Setophaga cerulea,,,,10390,Yellow-crested Tanager,Tachyphonus rufiventer
10391,Northern Parula,Setophaga americana,,236,266,Setophaga americana,,,,10391,Fulvous-crested Tanager,Tachyphonus surinamus
10392,Tropical Parula,Setophaga pitiayumi,,310,491,Setophaga pitiayumi,,,,10392,White-shouldered Tanager,Tachyphonus luctuosus
10393,Magnolia Warbler,Setophaga magnolia,,215,231,Setophaga magnolia,,,,10393,Tawny-crested Tanager,Tachyphonus delatrii
10394,Bay-breasted Warbler,Setophaga castanea,,84,17,Setophaga castanea,,,,10394,Ruby-crowned Tanager,Tachyphonus coronatus
10395,Blackburnian Warbler,Setophaga fusca,,177,81,Setophaga fusca,,,,10395,White-lined Tanager,Tachyphonus rufus
10396,American Yellow Warbler,Setophaga aestiva,,443,1451,Setophaga petechia,,,,10396,Red-shouldered Tanager,Tachyphonus phoenicius
10397,Mangrove Warbler,Setophaga petechia,,160,92,Setophaga petechia,,,,10397,Fulvous Shrike-Tanager,Lanio fulvus
10398,Chestnut-sided Warbler,Setophaga pensylvanica,,199,186,Setophaga pensylvanica,,,,10398,White-winged Shrike-Tanager,Lanio versicolor
10399,Blackpoll Warbler,Setophaga striata,,198,126,Setophaga striata,,,,10399,Black-throated Shrike-Tanager,Lanio aurantius
10400,Black-throated Blue Warbler,Setophaga caerulescens,,132,106,Setophaga caerulescens,,,,10400,White-throated Shrike-Tanager,Lanio leucothorax
10401,Palm Warbler,Setophaga palmarum,,64,44,Setophaga palmarum,,,,10401,Crimson-collared Tanager,Ramphocelus sanguinolentus
10402,Olive-capped Warbler,Setophaga pityophila,,14,3,Setophaga pityophila,,,,10402,Flame-rumped Tanager,Ramphocelus flammigerus
10403,Pine Warbler,Setophaga pinus,,142,131,Setophaga pinus,,,,10403,Scarlet-rumped Tanager,Ramphocelus passerinii
10404,Myrtle Warbler,Setophaga coronata,,228,398,Setophaga coronata,,,,10404,Brazilian Tanager,Ramphocelus bresilius
10405,Audubon's Warbler,Setophaga auduboni,,178,621,Setophaga coronata,,,,10405,Black-bellied Tanager,Ramphocelus melanogaster
10406,Goldman's Warbler,Setophaga goldmani,,4,0,Setophaga coronata,,,,10406,Silver-beaked Tanager,Ramphocelus carbo
10407,Yellow-throated Warbler,Setophaga dominica,,94,54,Setophaga dominica,,,,10407,Masked Crimson Tanager,Ramphocelus nigrogularis
10408,Bahama Warbler,Setophaga flavescens,,7,1,Setophaga flavescens,,,,10408,Crimson-backed Tanager,Ramphocelus dimidiatus
10409,Vitelline Warbler,Setophaga vitellina,,5,0,Setophaga vitellina,,,,10409,Vermilion Tanager,Calochaetes coccineus
10410,Prairie Warbler,Setophaga discolor,,119,99,Setophaga discolor,,,,10410,Blue-backed Tanager,Cyanicterus cyanicterus
10411,Adelaide's Warbler,Setophaga adelaidae,,13,30,Setophaga adelaidae,,,,10411,Blue-and-gold Tanager,Bangsia arcaei
10412,Barbuda Warbler,Setophaga subita,,1,0,Setophaga subita,,,,10412,Black-and-gold Tanager,Bangsia melanochlamys
10413,St. Lucia Warbler,Setophaga delicata,,3,0,Setophaga delicata,,,,10413,Golden-chested Tanager,Bangsia rothschildi
10414,Grace's Warbler,Setophaga graciae,,118,172,Setophaga graciae,,,,10414,Moss-backed Tanager,Bangsia edwardsi
10415,Black-throated Grey Warbler,Setophaga nigrescens,,162,169,Setophaga nigrescens,,,,10415,Gold-ringed Tanager,Bangsia aureocincta
10416,Townsend's Warbler,Setophaga townsendi,,153,88,Setophaga townsendi,,,,10416,Orange-throated Tanager,Wetmorethraupis sterrhopteron
10417,Hermit Warbler,Setophaga occidentalis,,60,19,Setophaga occidentalis,,,,10417,Hooded Mountain-Tanager,Buthraupis montana
10418,Golden-cheeked Warbler,Setophaga chrysoparia,,34,7,Setophaga chrysoparia,,,,10418,Masked Mountain-Tanager,Buthraupis wetmorei
10419,Black-throated Green Warbler,Setophaga virens,,151,232,Setophaga virens,,,,10419,Black-chested Mountain-Tanager,Cnemathraupis eximia
10420,Citrine Warbler,Myiothlypis luteoviridis,,95,42,Myiothlypis luteoviridis,,,,10420,Golden-backed Mountain-Tanager,Cnemathraupis aureodorsalis
10421,Santa Marta Warbler,Myiothlypis basilica,,20,0,Myiothlypis basilica,,,,10421,Grass-green Tanager,Chlorornis riefferii
10422,White-striped Warbler,Myiothlypis leucophrys,,24,2,Myiothlypis leucophrys,,,,10422,Black-cheeked Mountain-Tanager,Anisognathus melanogenys
10423,Flavescent Warbler,Myiothlypis flaveola,,174,143,Myiothlypis flaveola,,,,10423,Lacrimose Mountain-Tanager,Anisognathus lacrymosus
10424,White-rimmed Warbler,Myiothlypis leucoblephara,,152,301,Myiothlypis leucoblephara,,,,10424,Scarlet-bellied Mountain-Tanager,Anisognathus igniventris
10425,Pale-legged Warbler,Myiothlypis signata,,62,9,Myiothlypis signata,,,,10425,Blue-winged Mountain-Tanager,Anisognathus somptuosus
10426,Black-crested Warbler,Myiothlypis nigrocristata,,198,156,Myiothlypis nigrocristata,,,,10426,Black-chinned Mountain-Tanager,Anisognathus notabilis
10427,Buff-rumped Warbler,Myiothlypis fulvicauda,,214,44,Myiothlypis fulvicauda,,,,10427,Buff-breasted Mountain-Tanager,Dubusia taeniata
10428,Riverbank Warbler,Myiothlypis rivularis,,117,29,Myiothlypis rivularis,,,,10428,Chestnut-bellied Mountain-Tanager,Dubusia castaneoventris
10429,Two-banded Warbler,Myiothlypis bivittata,,52,53,Myiothlypis bivittata,,,,10429,Rufous-bellied Mountain-Tanager,Pseudosaltator rufiventris
10430,Roraiman Warbler,Myiothlypis roraimae,,18,2,Myiothlypis bivittata,,,,10430,Diademed Tanager,Stephanophorus diadematus
10431,Cuzco Warbler,Myiothlypis chrysogaster,,14,26,Myiothlypis chrysogaster,,,,10431,Purplish-mantled Tanager,Iridosornis porphyrocephalus
10432,Choco Warbler,Myiothlypis chlorophrys,,37,35,Myiothlypis chrysogaster,,,,10432,Yellow-throated Tanager,Iridosornis analis
10433,White-lored Warbler,Myiothlypis conspicillata,,31,10,Myiothlypis conspicillata,,,,10433,Golden-collared Tanager,Iridosornis jelskii
10434,Grey-throated Warbler,Myiothlypis cinereicollis,,32,1,Myiothlypis cinereicollis,,,,10434,Golden-crowned Tanager,Iridosornis rufivertex
10435,Grey-and-gold Warbler,Myiothlypis fraseri,,60,124,Myiothlypis fraseri,,,,10435,Yellow-scarfed Tanager,Iridosornis reinhardti
10436,Russet-crowned Warbler,Myiothlypis coronata,,245,324,Myiothlypis coronata,,,,10436,Fawn-breasted Tanager,Pipraeidea melanonota
10437,Grey-headed Warbler,Myiothlypis griseiceps,,9,0,Basileuterus griseiceps,,,,10437,Blue-and-yellow Tanager,Pipraeidea bonariensis
10438,Fan-tailed Warbler,Basileuterus lachrymosus,,44,11,Basileuterus lachrymosus,,,,10438,Glistening-green Tanager,Chlorochrysa phoenicotis
10439,Rufous-capped Warbler,Basileuterus rufifrons,,217,85,Basileuterus rufifrons,,,,10439,Orange-eared Tanager,Chlorochrysa calliparaea
10440,Black-cheeked Warbler,Basileuterus melanogenys,,29,0,Basileuterus melanogenys,,,,10440,Multicolored Tanager,Chlorochrysa nitidissima
10441,Pirre Warbler,Basileuterus ignotus,,10,1,Basileuterus ignotus,,,,10441,Blue-gray Tanager,Thraupis episcopus
10442,Golden-browed Warbler,Basileuterus belli,,41,40,Basileuterus belli,,,,10442,Sayaca Tanager,Thraupis sayaca
10443,Golden-crowned Warbler,Basileuterus culicivorus,,353,755,Basileuterus culicivorus,,,,10443,Glaucous Tanager,Thraupis glaucocolpa
10444,Black-eared Warbler,Basileuterus melanotis,,17,0,Basileuterus melanotis,,,,10444,Azure-shouldered Tanager,Thraupis cyanoptera
10445,Tacarcuna Warbler,Basileuterus tacarcunae,,1,0,Basileuterus tacarcunae,,,,10445,Golden-chevroned Tanager,Thraupis ornata
10446,Three-banded Warbler,Basileuterus trifasciatus,,30,17,Basileuterus trifasciatus,,,,10446,Yellow-winged Tanager,Thraupis abbas
10447,Yungas Warbler,Basileuterus punctipectus,,11,41,Basileuterus tristriatus,,,,10447,Palm Tanager,Thraupis palmarum
10448,Three-striped Warbler,Basileuterus tristriatus,,188,145,Basileuterus tristriatus,,,,10448,Blue-capped Tanager,Thraupis cyanocephala
10449,Canada Warbler,Cardellina canadensis,,171,45,Cardellina canadensis,,,,10449,Dotted Tanager,Ixothraupis varia
10450,Wilson's Warbler,Cardellina pusilla,,311,408,Cardellina pusilla,,,,10450,Rufous-throated Tanager,Ixothraupis rufigula
10451,Red-faced Warbler,Cardellina rubrifrons,,50,18,Cardellina rubrifrons,,,,10451,Speckled Tanager,Ixothraupis guttata
10452,Red Warbler,Cardellina rubra,,48,9,Cardellina rubra,,,,10452,Yellow-bellied Tanager,Ixothraupis xanthogastra
10453,Pink-headed Warbler,Cardellina versicolor,,15,0,Cardellina versicolor,,,,10453,Spotted Tanager,Ixothraupis punctata
10454,Painted Whitestart,Myioborus pictus,,163,175,Myioborus pictus,,,,10454,Golden-naped Tanager,Chalcothraupis ruficervix
10455,Slate-throated Whitestart,Myioborus miniatus,,303,416,Myioborus miniatus,,,,10455,Azure-rumped Tanager,Poecilostreptus cabanisi
10456,Brown-capped Whitestart,Myioborus brunniceps,,39,32,Myioborus brunniceps,,,,10456,Gray-and-gold Tanager,Poecilostreptus palmeri
10457,Yellow-crowned Whitestart,Myioborus flavivertex,,22,8,Myioborus flavivertex,,,,10457,Black-headed Tanager,Stilpnia cyanoptera
10458,White-fronted Whitestart,Myioborus albifrons,,11,2,Myioborus albifrons,,,,10458,Silvery Tanager,Stilpnia viridicollis
10459,Golden-fronted Whitestart,Myioborus ornatus,,109,62,Myioborus ornatus,,,,10459,Black-capped Tanager,Stilpnia heinei
10460,Spectacled Whitestart,Myioborus melanocephalus,,69,87,Myioborus melanocephalus,,,,10460,Green-throated Tanager,Stilpnia argyrofenges
10461,Collared Whitestart,Myioborus torquatus,,18,0,Myioborus torquatus,,,,10461,Sira Tanager,Stilpnia phillipsi
10462,Paria Whitestart,Myioborus pariae,,4,0,Myioborus pariae,,,,10462,Black-backed Tanager,Stilpnia peruviana
10463,White-faced Whitestart,Myioborus albifacies,,0,0,Myioborus albifacies,,,,10463,Chestnut-backed Tanager,Stilpnia preciosa
10464,Guaiquinima Whitestart,Myioborus cardonai,,0,0,Myioborus cardonai,,,,10464,Green-capped Tanager,Stilpnia meyerdeschauenseei
10465,Tepui Whitestart,Myioborus castaneocapilla,,15,0,Myioborus castaneocapilla,,,,10465,Burnished-buff Tanager,Stilpnia cayana
10466,Dusky-faced Tanager,Mitrospingus cassinii,,62,12,Mitrospingus cassinii,,,,10466,Lesser Antillean Tanager,Stilpnia cucullata
10467,Olive-backed Tanager,Mitrospingus oleagineus,,15,0,Mitrospingus oleagineus,,,,10467,Scrub Tanager,Stilpnia vitriolina
10468,Olive-green Tanager,Orthogonys chloricterus,,40,6,Orthogonys chloricterus,,,,10468,Masked Tanager,Stilpnia nigrocincta
10469,Red-billed Pied Tanager,Lamprospiza melanoleuca,,57,16,Lamprospiza melanoleuca,,,,10469,Golden-hooded Tanager,Stilpnia larvata
10470,Flame-colored Tanager,Piranga bidentata,,83,55,Piranga bidentata,,,,10470,Blue-necked Tanager,Stilpnia cyanicollis
10471,Tooth-billed Tanager,Piranga lutea,,36,10,Piranga flava,,,,10471,Blue-and-black Tanager,Tangara vassorii
10472,Red Tanager,Piranga flava,,41,1,Piranga flava,,,,10472,Beryl-spangled Tanager,Tangara nigroviridis
10473,Hepatic Tanager,Piranga hepatica,,70,127,Piranga flava,,,,10473,Spangle-cheeked Tanager,Tangara dowii
10474,Summer Tanager,Piranga rubra,,264,212,Piranga rubra,,,,10474,Green-naped Tanager,Tangara fucosa
10475,Rose-throated Tanager,Piranga roseogularis,,21,14,Piranga roseogularis,,,,10475,Metallic-green Tanager,Tangara labradorides
10476,Scarlet Tanager,Piranga olivacea,,170,160,Piranga olivacea,,,,10476,Blue-browed Tanager,Tangara cyanotis
10477,Western Tanager,Piranga ludoviciana,,162,465,Piranga ludoviciana,,,,10477,Plain-colored Tanager,Tangara inornata
10478,White-winged Tanager,Piranga leucoptera,,70,3,Piranga leucoptera,,,,10478,Turquoise Tanager,Tangara mexicana
10479,Red-headed Tanager,Piranga erythrocephala,,23,5,Piranga erythrocephala,,,,10479,Paradise Tanager,Tangara chilensis
10480,Red-hooded Tanager,Piranga rubriceps,,26,1,Piranga rubriceps,,,,10480,Opal-rumped Tanager,Tangara velia
10481,Red-crowned Ant Tanager,Habia rubica,,251,164,Habia rubica,,,,10481,Opal-crowned Tanager,Tangara callophrys
10482,Red-throated Ant Tanager,Habia fuscicauda,,112,32,Habia fuscicauda,,,,10482,Green-headed Tanager,Tangara seledon
10483,Black-cheeked Ant Tanager,Habia atrimaxillaris,,30,4,Habia atrimaxillaris,,,,10483,Seven-colored Tanager,Tangara fastuosa
10484,Sooty Ant Tanager,Habia gutturalis,,46,1,Habia gutturalis,,,,10484,Red-necked Tanager,Tangara cyanocephala
10485,Crested Ant Tanager,Habia cristata,,58,2,Habia cristata,,,,10485,Brassy-breasted Tanager,Tangara desmaresti
10486,Carmiol's Tanager,Chlorothraupis carmioli,,46,29,Chlorothraupis carmioli,,,,10486,Gilt-edged Tanager,Tangara cyanoventris
10487,Olive Tanager,Chlorothraupis frenata,,37,17,Chlorothraupis carmioli,,,,10487,Rufous-winged Tanager,Tangara lavinia
10488,Lemon-spectacled Tanager,Chlorothraupis olivacea,,45,30,Chlorothraupis olivacea,,,,10488,Bay-headed Tanager,Tangara gyrola
10489,Ochre-breasted Tanager,Chlorothraupis stolzmanni,,105,40,Chlorothraupis stolzmanni,,,,10489,Rufous-cheeked Tanager,Tangara rufigenis
10490,Yellow Grosbeak,Pheucticus chrysopeplus,,75,337,Pheucticus chrysopeplus,,,,10490,Golden-eared Tanager,Tangara chrysotis
10491,Black-thighed Grosbeak,Pheucticus tibialis,,15,1,Pheucticus tibialis,,,,10491,Saffron-crowned Tanager,Tangara xanthocephala
10492,Golden Grosbeak,Pheucticus chrysogaster,,59,28,Pheucticus chrysogaster,,,,10492,Flame-faced Tanager,Tangara parzudakii
10493,Black-backed Grosbeak,Pheucticus aureoventris,,58,21,Pheucticus aureoventris,,,,10493,Green-and-gold Tanager,Tangara schrankii
10494,Rose-breasted Grosbeak,Pheucticus ludovicianus,,172,134,Pheucticus ludovicianus,,,,10494,Blue-whiskered Tanager,Tangara johannae
10495,Black-headed Grosbeak,Pheucticus melanocephalus,,262,485,Pheucticus melanocephalus,,,,10495,Golden Tanager,Tangara arthus
10496,Red-breasted Chat,Granatellus venustus,,20,23,Granatellus venustus,,,,10496,Emerald Tanager,Tangara florida
10497,Grey-throated Chat,Granatellus sallaei,,13,1,Granatellus sallaei,,,,10497,Silver-throated Tanager,Tangara icterocephala
10498,Rose-breasted Chat,Granatellus pelzelni,,75,10,Granatellus pelzelni,,,,10498,Swallow Tanager,Tersina viridis
10499,Northern Cardinal,Cardinalis cardinalis,,631,2508,Cardinalis cardinalis,,,,10499,White-bellied Dacnis,Dacnis albiventris
10500,Vermilion Cardinal,Cardinalis phoeniceus,,26,2,Cardinalis phoeniceus,,,,10500,Black-faced Dacnis,Dacnis lineata
10501,Pyrrhuloxia,Cardinalis sinuatus,,101,177,Cardinalis sinuatus,,,,10501,Yellow-bellied Dacnis,Dacnis flaviventer
10502,Black-faced Grosbeak,Caryothraustes poliogaster,,43,13,Caryothraustes poliogaster,,,,10502,Turquoise Dacnis,Dacnis hartlaubi
10503,Yellow-green Grosbeak,Caryothraustes canadensis,,127,60,Caryothraustes canadensis,,,,10503,Black-legged Dacnis,Dacnis nigripes
10504,Crimson-collared Grosbeak,Rhodothraupis celaeno,,9,2,Rhodothraupis celaeno,,,,10504,Scarlet-thighed Dacnis,Dacnis venusta
10505,Red-and-black Grosbeak,Periporphyrus erythromelas,,31,4,Periporphyrus erythromelas,,,,10505,Blue Dacnis,Dacnis cayana
10506,Cabanis's Seedeater,Amaurospiza concolor,,8,0,Amaurospiza concolor,,,,10506,Viridian Dacnis,Dacnis viguieri
10507,Ecuadorian Seedeater,Amaurospiza aequatorialis,,16,5,Amaurospiza concolor,,,,10507,Scarlet-breasted Dacnis,Dacnis berlepschi
10508,Blackish-blue Seedeater,Amaurospiza moesta,,54,13,Amaurospiza moesta,,,,10508,Short-billed Honeycreeper,Cyanerpes nitidus
10509,Carrizal Seedeater,Amaurospiza carrizalensis,,1,0,Amaurospiza carrizalensis,,,,10509,Shining Honeycreeper,Cyanerpes lucidus
10510,Dickcissel,Spiza americana,,175,140,Spiza americana,,,,10510,Purple Honeycreeper,Cyanerpes caeruleus
10511,Glaucous-blue Grosbeak,Cyanoloxia glaucocaerulea,,18,4,Cyanoloxia glaucocaerulea,,,,10511,Red-legged Honeycreeper,Cyanerpes cyaneus
10512,Blue-black Grosbeak,Cyanocompsa cyanoides,,130,59,Cyanoloxia cyanoides,,,,10512,Green Honeycreeper,Chlorophanes spiza
10513,Rothschild's Grosbeak,Cyanocompsa rothschildii,,119,66,Cyanoloxia rothschildii,,,,10513,Golden-collared Honeycreeper,Iridophanes pulcherrimus
10514,Ultramarine Grosbeak,Cyanocompsa brissonii,,104,16,Cyanoloxia brissonii,,,,10514,Sulphur-rumped Tanager,Heterospingus rubrifrons
10515,Blue Bunting,Cyanocompsa parellina,,48,10,Cyanocompsa parellina,,,,10515,Scarlet-browed Tanager,Heterospingus xanthopygius
10516,Blue Grosbeak,Passerina caerulea,,194,385,Passerina caerulea,,,,10516,Guira Tanager,Hemithraupis guira
10517,Indigo Bunting,Passerina cyanea,,249,436,Passerina cyanea,,,,10517,Rufous-headed Tanager,Hemithraupis ruficapilla
10518,Lazuli Bunting,Passerina amoena,,149,141,Passerina amoena,,,,10518,Yellow-backed Tanager,Hemithraupis flavicollis
10519,Varied Bunting,Passerina versicolor,,69,118,Passerina versicolor,,,,10519,Black-and-yellow Tanager,Chrysothlypis chrysomelas
10520,Painted Bunting,Passerina ciris,,102,41,Passerina ciris,,,,10520,Scarlet-and-white Tanager,Chrysothlypis salmoni
10521,Rose-bellied Bunting,Passerina rositae,,10,1,Passerina rositae,,,,10521,Bicolored Conebill,Conirostrum bicolor
